,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,5IN9W6eUfk3014My9awagX,MOONLIGHT SUNRISE,TWICE,"['k-pop', 'k-pop girl group', 'pop']",READY TO BE,7n2Ycct7Beij7Dj7meI4X0,74,180320,False,0.746,0.78,1,-3.279,1,0.0563,0.401,4.08e-06,0.0895,0.607,125.089,4
1,4OtVQ2ZxS7yigIjGz5yKg1,SET ME FREE,TWICE,"['k-pop', 'k-pop girl group', 'pop']",READY TO BE,7n2Ycct7Beij7Dj7meI4X0,80,181680,False,0.756,0.831,5,-2.536,0,0.141,0.0966,0,0.0499,0.703,113.025,4
2,0RDqNCRBGrSegk16Avfzuq,Talk that Talk,TWICE,"['k-pop', 'k-pop girl group', 'pop']",BETWEEN 1&2,7n2Ycct7Beij7Dj7meI4X0,78,177466,False,0.772,0.907,3,-2.438,0,0.124,0.136,0,0.334,0.783,119.973,4
3,308Ir17KlNdlrbVLHWhlLe,The Feels,TWICE,"['k-pop', 'k-pop girl group', 'pop']",Formula of Love: O+T=<3,7n2Ycct7Beij7Dj7meI4X0,77,198053,False,0.808,0.903,9,-2.179,1,0.0729,0.0899,0,0.0816,0.922,120.044,4
4,3zhbXKFjUDw40pTYyCgt1Y,What is Love,TWICE,"['k-pop', 'k-pop girl group', 'pop']",Summer Nights,7n2Ycct7Beij7Dj7meI4X0,77,208240,False,0.574,0.909,8,-1.573,1,0.0658,0.0987,0,0.264,0.569,169.966,4
5,2qQpFbqqkLOGySgNK8wBXt,FANCY,TWICE,"['k-pop', 'k-pop girl group', 'pop']",FANCY YOU,7n2Ycct7Beij7Dj7meI4X0,76,213880,False,0.697,0.874,5,-2.15,0,0.0449,0.0122,0,0.627,0.775,132.018,4
6,37ZtpRBkHcaq6hHy0X98zn,I CAN'T STOP ME,TWICE,"['k-pop', 'k-pop girl group', 'pop']",Eyes Wide Open,7n2Ycct7Beij7Dj7meI4X0,76,205493,False,0.657,0.88,10,-3.672,0,0.102,0.121,0,0.463,0.769,150.084,4
7,0h3dJV8JA5oxPzSF4tkz2t,Hare Hare,TWICE,"['k-pop', 'k-pop girl group', 'pop']",Hare Hare,7n2Ycct7Beij7Dj7meI4X0,76,203546,False,0.707,0.83,9,-5.331,0,0.0642,0.171,0,0.176,0.758,128.106,4
8,3Hz3tTQwOdM6XkA0ALB2G9,Feel Special,TWICE,"['k-pop', 'k-pop girl group', 'pop']",Feel Special,7n2Ycct7Beij7Dj7meI4X0,74,206866,False,0.708,0.959,1,-1.338,1,0.0604,0.0296,0.00188,0.107,0.644,128.981,4
9,2xtP8RNbo2BEMzLX7tK7aq,CRY FOR ME,TWICE,"['k-pop', 'k-pop girl group', 'pop']",CRY FOR ME,7n2Ycct7Beij7Dj7meI4X0,74,204167,False,0.702,0.692,10,-5.405,1,0.0539,0.0542,0,0.0877,0.419,144.896,4
10,6TDPTk5c9r1aAaLEILqNmA,Tangerina - Ao Vivo,DUDA BEAT,"['nova mpb', 'nova musica pernambucana']",Acústico MTV Tiago Iorc (Ao Vivo),2QLSJqqGIstNbO6nYRR16o,63,281034,False,0.664,0.575,6,-13.538,0,0.0637,0.0364,0.00458,0.687,0.517,109.009,4
11,04RFAnuBZkyITGUNIbZHhb,Bixinho,DUDA BEAT,"['nova mpb', 'nova musica pernambucana']",Sinto Muito,2QLSJqqGIstNbO6nYRR16o,62,205945,False,0.685,0.501,1,-7.492,1,0.0334,0.225,0,0.096,0.366,147.919,4
12,08HdbdAWWqSyliHjMG6XmH,Meu Jeito de Amar,DUDA BEAT,"['nova mpb', 'nova musica pernambucana']",Meu Jeito de Amar,2QLSJqqGIstNbO6nYRR16o,55,168800,False,0.732,0.67,5,-6.544,0,0.0677,0.298,2.37e-05,0.083,0.746,149.651,4
13,2vaRBe7rRW8dBszITsPzYU,Meu Pisêro,DUDA BEAT,"['nova mpb', 'nova musica pernambucana']",Te Amo Lá Fora,2QLSJqqGIstNbO6nYRR16o,54,199813,False,0.609,0.824,11,-7.184,0,0.0418,0.0522,0.00145,0.184,0.589,175.924,4
14,7jitFEr94DKj5laJuQzaK8,Chega,DUDA BEAT,"['nova mpb', 'nova musica pernambucana']",Chega,2QLSJqqGIstNbO6nYRR16o,54,185544,False,0.734,0.772,0,-6.816,1,0.0463,0.052,3.21e-05,0.0435,0.75,100.999,4
15,4sUQddjXIU07mUYcax8udC,Bixinho - Lux & Tróia – Remix,DUDA BEAT,"['nova mpb', 'nova musica pernambucana']",Bixinho (Lux & Tróia – Remix),2QLSJqqGIstNbO6nYRR16o,51,207916,False,0.839,0.663,10,-6.969,0,0.071,0.0206,0.000563,0.0943,0.658,90.002,4
