,track_id,track_name,artist_name,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,79s5XnCN4TJKTVMSmOx8Ep,Dior,Pop Smoke,Meet The Woo,0eDvMgVFoNV3TpwtrVCoTj,83,216386,True,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,4
1,1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,0eDvMgVFoNV3TpwtrVCoTj,82,160000,True,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,4
2,0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Shoot For The Stars Aim For The Moon,0eDvMgVFoNV3TpwtrVCoTj,81,190476,True,0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,125.971,4
3,792HwhrdO3ErRKL5yRe4Ge,Invincible,Pop Smoke,Meet The Woo 2,0eDvMgVFoNV3TpwtrVCoTj,81,127546,True,0.548,0.732,11,-5.652,0,0.336,0.125,0,0.269,0.612,142.791,4
4,57BGVV6wcyhbn3hsjlqEZB,Element,Pop Smoke,Meet The Woo 2,0eDvMgVFoNV3TpwtrVCoTj,80,135746,True,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,5
5,5rZlwNFl01HqLWBQGryKSm,Mood Swings (feat. Lil Tjay),Pop Smoke,Shoot For The Stars Aim For The Moon,0eDvMgVFoNV3TpwtrVCoTj,79,213333,True,0.48,0.602,10,-6.335,0,0.368,0.487,0,0.0848,0.269,179.798,4
6,2r6OAV3WsYtXuXjvJ1lIDi,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe),0eDvMgVFoNV3TpwtrVCoTj,78,190534,True,0.905,0.647,10,-5.065,0,0.107,0.0187,0,0.282,0.367,130.97,4
7,25zlnOAzbVoOzIeXSvQFf1,Got It On Me,Pop Smoke,Shoot For The Stars Aim For The Moon,0eDvMgVFoNV3TpwtrVCoTj,77,164579,True,0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834,4
8,3DWjFSDEQ9IWz1mj449fB7,Get Back,Pop Smoke,Meet The Woo 2,0eDvMgVFoNV3TpwtrVCoTj,77,108160,True,0.798,0.649,9,-6.546,1,0.306,0.0746,1.34e-05,0.517,0.566,142.006,4
9,40mjsnRjCpycdUw3xhS20g,GATTI,Pop Smoke,JACKBOYS,0eDvMgVFoNV3TpwtrVCoTj,77,181144,True,0.594,0.676,2,-5.808,1,0.344,0.135,0,0.163,0.472,143.477,4
10,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),Pop Smoke,Rave & Roses Ultra,0eDvMgVFoNV3TpwtrVCoTj,79,239317,False,0.799,0.802,11,-5.196,1,0.0371,0.429,0.00128,0.171,0.811,107.008,4
11,4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,Selena Gomez,Rare,0C8ZW7ezQVs4URX5aX7Kqx,83,206458,False,0.488,0.343,4,-8.985,1,0.0436,0.556,0,0.21,0.0978,102.819,4
12,4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",Selena Gomez,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0C8ZW7ezQVs4URX5aX7Kqx,78,212500,True,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,4
13,0tBbt8CrmxbjRP0pueQkyU,Wolves,Selena Gomez,Wolves,0C8ZW7ezQVs4URX5aX7Kqx,81,197993,False,0.724,0.804,11,-4.614,0,0.0448,0.124,0,0.204,0.306,124.987,4
14,63mdJr3NMY3wReOkNE6c6W,People You Know,Selena Gomez,Rare,0C8ZW7ezQVs4URX5aX7Kqx,80,194900,False,0.695,0.62,8,-8.082,0,0.0521,0.0881,5.43e-05,0.111,0.62,150.032,4
15,12GEpg2XOPyqk03JZEZnJs,It Ain’t Me (with Selena Gomez),Selena Gomez,It Ain't Me,0C8ZW7ezQVs4URX5aX7Kqx,69,220780,False,0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,4
16,4hQ6UGyWQIGJmHSo0J88JW,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,Back To You (From 13 Reasons Why – Season 2 Soundtrack),0C8ZW7ezQVs4URX5aX7Kqx,77,207904,False,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,4
17,4JUPEh2DVSXFGExu4Uxevz,Ice Cream (with Selena Gomez),Selena Gomez,THE ALBUM,0C8ZW7ezQVs4URX5aX7Kqx,70,177813,False,0.79,0.701,9,-4.81,1,0.365,0.0317,8.06e-05,0.0311,0.91,159.972,4
