,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,6ZRuF2n1CQxyxxAAWsKJOy,Nights Like This (feat. Ty Dolla $ign),Kehlani,"['pop', 'r&b']",While We Wait,0cGUm45nv7Z6M6qdXYQGTX,78,201787,True,0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163,4
1,5cw9s2zGrbny2M2p3WRmGm,Gangsta,Kehlani,"['pop', 'r&b']",SweetSexySavage (Deluxe),0cGUm45nv7Z6M6qdXYQGTX,59,177773,True,0.465,0.446,10,-8.336,0,0.0433,0.102,0,0.321,0.131,121.801,4
2,1Eck97uRMlprKOOJN9oO1E,Good Life (with G-Eazy & Kehlani),Kehlani,"['pop', 'r&b']",Good Life (with G-Eazy & Kehlani),0cGUm45nv7Z6M6qdXYQGTX,60,225525,False,0.565,0.771,1,-5.22,1,0.213,0.00464,0,0.0568,0.573,168.385,4
3,5nexAvWNhwg51EavnDgViy,Toxic,Kehlani,"['pop', 'r&b']",It Was Good Until It Wasn't,0cGUm45nv7Z6M6qdXYQGTX,71,168182,True,0.653,0.453,7,-5.395,0,0.0351,0.307,0.00101,0.113,0.0405,111.737,4
4,1lsBTdE6MGsKeZCD6llNu7,Done for Me (feat. Kehlani),Kehlani,"['pop', 'r&b']",Voicenotes,0cGUm45nv7Z6M6qdXYQGTX,71,180493,False,0.856,0.632,6,-3.692,0,0.074,0.193,0,0.0688,0.697,112.009,4
5,0uDdI4fAXCuNhQbmxENdsO,Can I,Kehlani,"['pop', 'r&b']",It Was Good Until It Wasn't,0cGUm45nv7Z6M6qdXYQGTX,70,167810,True,0.574,0.791,1,-3.752,1,0.11,0.419,0,0.0982,0.612,119.537,4
6,4WCAb7rGU70hyx3m9joKCx,up at night (feat. justin bieber),Kehlani,"['pop', 'r&b']",blue water road,0cGUm45nv7Z6M6qdXYQGTX,63,182226,False,0.563,0.756,0,-3.852,0,0.0579,0.196,0,0.245,0.234,100.012,4
7,5aUSEPNd3m5xliFK4pn5mU,Good Thing (with Kehlani),Kehlani,"['pop', 'r&b']",Good Thing (with Kehlani),0cGUm45nv7Z6M6qdXYQGTX,69,210901,True,0.693,0.564,1,-3.857,0,0.0378,0.399,0,0.0409,0.574,185.913,3
8,5QTdOvIF2ehBMZpSIIGzIo,Honey,Kehlani,"['pop', 'r&b']",Honey,0cGUm45nv7Z6M6qdXYQGTX,68,199209,True,0.606,0.24,3,-7.102,1,0.0369,0.772,0,0.0819,0.526,96.792,4
9,306ediRjbmuizOLWtjDG3Z,At My Worst (feat. Kehlani),Kehlani,"['pop', 'r&b']",PINK PLANET,0cGUm45nv7Z6M6qdXYQGTX,46,169127,False,0.731,0.484,0,-5.579,1,0.0354,0.73,3.01e-06,0.326,0.35,92.043,4
10,7N3PAbqfTjSEU1edb2tY8j,Jump - 2015 Remaster,Van Halen,"['album rock', 'classic rock', 'hard rock', 'rock']",1984 (Remastered),2cnMpRsOVqtPMfq7YiFE6K,83,241599,False,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,4
11,05RgAMGypEvqhNs5hPCbMS,Panama - 2015 Remaster,Van Halen,"['album rock', 'classic rock', 'hard rock', 'rock']",1984 (Remastered),2cnMpRsOVqtPMfq7YiFE6K,77,210226,False,0.526,0.978,8,-5.436,1,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,4
12,0upLyFR8Rr52ZpMp5esQoq,You Really Got Me - 2015 Remaster,Van Halen,"['album rock', 'classic rock', 'hard rock', 'rock']",Van Halen (Remastered),2cnMpRsOVqtPMfq7YiFE6K,73,156146,False,0.454,0.946,1,-5.978,0,0.13,0.0223,0,0.173,0.647,138.18,4
13,3KhF2YiNpJvGpfiCW45R6D,Runnin' with the Devil - 2015 Remaster,Van Halen,"['album rock', 'classic rock', 'hard rock', 'rock']",Van Halen (Remastered),2cnMpRsOVqtPMfq7YiFE6K,71,214960,False,0.472,0.9,8,-6.406,0,0.0582,0.148,0.000297,0.34,0.42,95.826,4
14,6fybp4N6eW3bsFAvARxyVe,Ain't Talkin' 'Bout Love - 2015 Remaster,Van Halen,"['album rock', 'classic rock', 'hard rock', 'rock']",Van Halen (Remastered),2cnMpRsOVqtPMfq7YiFE6K,71,227800,False,0.518,0.938,8,-5.964,0,0.0416,0.021,0.000305,0.288,0.71,139.138,4
15,6QDbGdbJ57Mtkflsg42WV5,Hot for Teacher - 2015 Remaster,Van Halen,"['album rock', 'classic rock', 'hard rock', 'rock']",1984 (Remastered),2cnMpRsOVqtPMfq7YiFE6K,70,282746,False,0.552,0.947,2,-4.671,1,0.15,0.000652,0.00025,0.0637,0.465,127.631,4
16,0TaT50ZZxT4ytZxuqkE3A9,Why Can't This Be Love,Van Halen,"['album rock', 'classic rock', 'hard rock', 'rock']",5150,2cnMpRsOVqtPMfq7YiFE6K,69,227693,False,0.531,0.626,0,-13.371,1,0.0452,0.0606,0,0.0767,0.746,88.236,4
17,4RS9PmtHQe7I0o5fEeweOY,Dance the Night Away - 2015 Remaster,Van Halen,"['album rock', 'classic rock', 'hard rock', 'rock']",Van Halen II (Remastered),2cnMpRsOVqtPMfq7YiFE6K,69,188083,False,0.548,0.843,8,-7.32,1,0.0597,0.0373,1.26e-06,0.0536,0.719,129.661,4
18,2tAeN2TKlQLOoSPXtARzBV,Eruption - 2015 Remaster,Van Halen,"['album rock', 'classic rock', 'hard rock', 'rock']",Van Halen (Remastered),2cnMpRsOVqtPMfq7YiFE6K,67,102080,False,0.225,0.689,8,-9.12,1,0.0555,0.469,0.813,0.337,0.5,93.798,4
19,6z3JD6IqVvu6TUBtCfQPbe,Can't Stop Lovin' You,Van Halen,"['album rock', 'classic rock', 'hard rock', 'rock']",Balance,2cnMpRsOVqtPMfq7YiFE6K,56,247466,False,0.609,0.912,9,-3.324,1,0.0338,0.0734,3.1e-06,0.159,0.564,118.035,4
20,5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),Ellie Goulding,"['indietronica', 'metropopolis', 'pop', 'uk pop']",Miracle (with Ellie Goulding),0X2BH1fck6amBIoJhDVmmJ,92,186496,False,0.636,0.869,9,-5.289,1,0.0412,0.0378,0.0446,0.0808,0.306,143.011,4
