track_id,track_name
7wdwIaXUuzlu1grzWMFRJm,Mary On A Cross
6I3mqTwhRpn34SLVafSH7G,Ghost
1daDRI9ahBonbWD8YcxOIB,Angels Like You
6jugu0rJWQUxwP6YekuYh7,Miley Cyrus
66tHO11PSLP7u25A6XM4iR,"Love, Love"
2vRBYKWOyHtFMtiK60qRz7,Trevo (Tu)
1JZRWSu4YTJKsS4sISx0pZ,Accidentally In Love
71SihT5A44ig0cNL3IvaPh,Counting Crows
7AdPYJXUpaLEdP3Ce0lEBP,Cadeias Quebrar (Break Every Chain) / As Trevas Estremecem (Tremble)
3BovdzfaX4jb5KFQwoPfAw,Beat It
6ZbtyvflZfGA1fL2hEFswS,Michael Jackson
4RzFPIpnYo7vf0kQI8Gdg1,Cedo Ou Tarde
6rmXhRIemCTPyMYZRDN7Qg,Black Magic
1aagXmRobAK0q6AMXOmHvq,Ordinary Girl
3FsRe2nUQRsvDRmlPen4Ss,Hannah Montana
7dJeGVQe3UnUb5CLRh1GGW,Unconditionally
40dfo65kBJa1UgzkD652Gl,Burn
2eAvDnpXP5W0cVtiI0PUxV,Dandelions
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back
000xYdQfIZ4pDmBGzQalKU,"Eu, Você, O Mar e Ela"
