track_id,track_name
0JJSSAsbkBUB2lj3ENWSvE,Lose Yourself
0DkMUP8S960lQFcl0WFlNw,Eminem
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights
3pm1X3oQBKQ4vcp3i9PWRg,Things We Lost In The Fire
0fE403AqvC6H93S0J5i6Ow,Bastille
3eEwBKrJTTLq783ZV6IZpX,Survival
4ybXOi5moeJDixfSRIpJoL,Kill You
2X3TAhWaAlTet44mabfdXl,Higher
4EchqUKQ3qAQuRNKmeIpnf,The Kids Aren't Alright
1qly7TyVJ8Ndev8R2MW76V,Awaken
5sICkBXVmaCQk5aISGR3x1,Enter Sandman
4cqo9iiH4hk9foaeCKbzQ8,Metallica
3TCauNPqFiniaYHBvEVoHG,Beautiful
789CxjEOtO76BVD1A9yJQH,Stay
6tRneEcItwpSxBtqgem5Dr,THE DEATH OF PEACE OF MIND
6HBGFXJaR7cSeWo1NepCXS,Bad Omens
0ct6r3EGTcMLPtrXHDvVjc,The Nights
4ziTMcQQWz5T1F7DXsY6QB,Avicii
7FAUlvyzCUYxE4YkDuL1vw,Discombobulated
0TZ7djbBcnwjDzAxUcp51q,Nirvana
