track_id,track_name
4NphpeYm7v5JmLa6IGOC0P,Slipping Through My Fingers
7sTYPovuHFjhdAsu53agiJ,Um Sonho Louco (Acústico)
3iJKQJeN1vbU2VQhzun1Fs,Mind Over Matter
2jyNhFoDBpQJ0OfVwyh0iR,Everything I Own
5TdDPgEvQ2l5FXZY7n8L4J,Bread
2vuSWc5vHo7my0wBZvPctI,Pra Não Morrer de Amor (Malherido) [Acústico])
37F0uwRSrdzkBiuj0D5UHI,Reminder
1XEMks82kl148ACzTJUEu8,Assim Como o Sol (Acústico)
6sR4X4tF9RIaidFKV1i7I7,When We Were Young
6T4ktdFCcS8F0KQI20FTEh,Adele
6IrcOstjX4huBj9xHw6o0s,Feitiço
6yuPcnHyGmva58smfbHdpo,Rod Stewart
7kJ0aTB5gLMYrJjYft3Vx6,Na Contramão
4HD67byP5AqlOGuoMyUgyA,Melhor Agora
1Fid2jjqsHViMX6xNH70hE,Atlantis
4t6eam3rC9JoNFVkfOHK4s,Pátio do Posto - Ao Vivo
3ht2lR8v0lkELskLeXGZ39,Base da Maldade
1odExI7RdWc4BT515LTAwj,Daylight
7cOMzFb5QXjdXMVgV4HQOA,If Today Was Your Last Day
21dpBHPTV7ythCHBI6Slcw,If By Chance
