track_id,track_name
0In2bqHMVomG4UpXYCT1nU,Partners
6XEUh8NRRqtwDQAVaZxoFx,Cristal
0ABmZKhFUB9giaCBrZtOxk,Danse macabre
1sPaxtqIWqk34n8nQ7YyBM,"Mephisto Waltz No. 1, S. 514"
0PijoCJtD6iTbaLgvVVIPp,From Olympus
6TGUMnc3CkccFauvHYnLTv,"The Planets, Op. 32: III. Mercury, the Winged Messenger"
3IOEJ2vvxf1Y5T2nBQxZvp,"Hungarian Rhapsody No. 19 in D Minor, S. 244/19: Lento"
0LpDYb5oOojdlOfUI6p7Ud,Song That Might Play When You Fight Sans
5BedBc1MsDstH84OMlrt80,El Noi de la Mare
5tIkdi5A8K6IR2TnvG8ZZL,"Kinderszenen, Op. 15: No. 8, Am Kamin"
7lL3Q908aZ9guZqDFuLlrB,Zapateado
1lTdR8ZTmKq8BLgMwt0Jeh,Alegrias
5jn6sZJMgpkat8Q8Ccfz2Q,Solea
0VkLICZvOg37kdDShvpmSL,El Vito
4ym8ZU8YzpioSyj7neyKNW,"Weinen, Klagen, Sorgen, Zagen, S. 179 (after J. S. Bach)"
