track_id,track_name
4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz
2fFMUYCKXdw5yq5tkM0mEP,Localiza Aí BB
3YvE7uo4ffseBoJPh8IhHp,Presepada
5A35xC90Nk6tXmcOAOOavi,ABALO EMOCIONAL - Ao Vivo
2Xa5Nm420o4TKl3Cqgf7Kb,Clone
0MKd4uZd8Ag8qyReZBTarP,Pino da Granada (Ao Vivo em Rio Preto)
053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você
3tdILSeFJLx3Op5tEjkQtq,Jorge & Mateus
6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo
0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília
4EEnYJLLJniLOLfLL6AcZ5,Sem Sal - Ao Vivo
7q3fl9pyPaUOrQ1w6AzveN,Marília Mendonça
11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo
0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo
4tVphly4D1PB8tJC9gHMcJ,10/10
4GOs8fPjp4M9CBHanTMwsQ,Seu Perfil - Ao Vivo
0s2t41LEUtbHV0azfuyVZP,Alguém - Ao Vivo
