track_id,track_name
4coYn6E3vS3DfxZNsCyeSl,Dancing With Your Ghost
1ZMiCix7XSAbfAJlEZWMCp,Falling
4APOty8om3FJ3WJqlSoZtx,Boiadeira - Funk Remix
3emWP5AGvDHFAlHlCOPiqT,O Poder Dessa Garota
7IG7laqVpcvIIULrwWP5SA,Vida Louca
4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando
3nI0piSOxAik2RCpHGloB7,Só os Loucos Sabem
1tRRWHwALkD7pAuN6Qklxs,pessoa certa hora errada
0i4UV3HjjvsUuV3BajEXoD,Baile no Morro
3SOiQUQ988zKilwom5t0tS,Rubi
4fgnNikmEUvXze89h3X47m,Morena
0qfHRo7pVX4GMJlhG70NQs,eu me amo mais
5HIksDGugWk5SM7q9Ua7hY,death bed (coffee for your head)
4NqXNw4el61UgqPMA3h0td,Chá de Sumiço
2MOq63fxuFLYQM3CsDcFs1,menina solta
7EULvOYWCxSp6iDg4xUl09,Meu Pai
7pDcS0EVMJR0YwjXmHcCRg,TOMA
7LdYiTZzlxsPKi8kvNXeBS,Set do G15 - A Revoada Começou
7qaUeAyg0eYYhHDCx58GXa,Simplesmente Ela
1Nmcs8zk7LfcvHRgLtTM5J,Amor de Fim de Noite
