track_id,track_name
54ycwO4LgbQCEVqzJe9Tzp,Break the Cycle
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life
0Qv7xi6uPSqH2k82tOkGSt,Mad World
3PavsmA9S6QA5lNmmsuOif,O Mundo É Um Moinho
4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo
5ffDENIdtByAZxHpuuj9li,Vida Chique
5mYJPigQ10jLu673oz7nIJ,Eu Juro
6l1U4fX41XmzZfi67q9i8X,Capricorniana
1jN75lntOt4xnZlgxvagNK,Estúpido Cupido
0kpyiEcH82ni9TuuZYxKzL,Razões E Emoções
4cqo9iiH4hk9foaeCKbzQ8,Metallica
1PQRwFvNM7xV65bIkHmDtx,Partilhar
4oFjWv0hf8gPkG6ASFJTHz,All The Things She Said
0rAX31FT5w3ZQbQMUSkxy8,Lança Perfume
6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro
52EYWdjiulHaehpexuowyh,FOGO E GASOLINA
1Nmcs8zk7LfcvHRgLtTM5J,Amor de Fim de Noite
1ikL8Lemlm3N58ahyLxIvP,Terra de Gigantes
266WEiJhZI1dNUcOqr7Yzi,Infinita Highway
4svcCNuxugwP6wrSnoMIfB,Buzz Lightyear
