track_id,track_name
4kJYsnNUDANomlvCyu629J,1997
4oFjWv0hf8gPkG6ASFJTHz,All The Things She Said
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever
3ZmAY8XuVQfDL3v8i9NEwl,Billie Eilish
3WATWS2Ywo5HeHtG0bE2iZ,Teardrops
4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion)
2nG54Y4a3sH9YpfxMolOyi,Shy Away
1EQ8sBQ7Abv9DvNBzhXAcv,Pra Você Guardei O Amor
05xQRKW8o04G0cxFqaP4wz,Amanheceu
4RoV5XhQ9IoxLyQt39oXPv,Scalene
3YuaBvuZqcwN3CEAyyoaei,Like a Stone
5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit
0TZ7djbBcnwjDzAxUcp51q,Nirvana
5NijSs5dAwaIybq1GaRTIe,Poison
69karp2jFoqUEb7nyR8REJ,Fresno
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer
0hsP0ePngHpxLQp9ZVVVRl,I Miss You
36tghkPg1AO4HsAzo6YpPp,House of Gold
1rqqCSm0Qe4I9rUvWncaom,High Hopes
15lWOhMvN8lkceKzsyAqoK,Pink Floyd
