track_id,track_name
6C1zL1nBK9fVF40mD9fvNd,Fazendinha Sessions #2: Vai Ser Bão Pra lá
6COat7YJe8Wt6ExUW3NHVH,Ecstasy
50ZLH2OMFe6wgP9n5ezzZR,Nutshell
0MKd4uZd8Ag8qyReZBTarP,Pino da Granada (Ao Vivo em Rio Preto)
1JMUDVoFdmYL2tJWuUjXSi,Remembrance
40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo
1rGAbEv9GkxWAPk53oWkpU,All Time Low
42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo
6BhxypxRq1o99KO78JxXeP,Hunger Strike
4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo
6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo
0O7lENhqOySbsL743G7PqD,"Vermilion, Pt. 2"
0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo
1VcGx47V3mlyZeM7ylY0fh,Insana
4pt5fDVTg5GhEvEtlz9dKk,I WANNA BE YOUR SLAVE
5TGkZGCUoV1zvFxQOIQM5O,Reverse
5yHC5TI4GAuKaeNYgCpLju,Pieces (Spontaneous)
5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo
67LSWcfTSHVHUgY2HmpcIZ,Capricorn
5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo
