track_id,track_name
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer
3qonjOrhFCfTnaaMruHzxW,Dangerously
4lIxdJw6W3Fg4vUIYCB0S5,Style
46r9znpbcztTA9NujwbA9d,Out Of The Woods
1dGr1c8CrMLDpV6mPbImSI,Lover
5ulFSVUSyWRiPdMnCKyV1s,Shake It Off
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me
5sVYErNztLXzaFAWtmZ4cc,End Game
64NT1ubbFFO119pS30Sg4y,The Archer
0dM1zD4PnqM26bXSTuxTZU,Wildest Dreams
6stDX47p3UY02kvmLXWV5g,I Wish You Would
62F6nWUGlhyLQZz2DTOlAx,All You Had To Do Was Stay
1p80LdxRV74UKvL8gnD7ky,Blank Space
5aWhs651KYM26HYM16kRdk,The Man
6ECp64rv50XVz93WvxXMGF,This Love
1nLn0okqQ9ta2pgttzEMq3,Look What You Made Me Do
5NDcrhmATDUQ6L3YWfKR0y,Bad Blood
4xFbopI5p3SLAT8bnvRdPo,Gorgeous
1DmSaQjZkuwFi57KPv20oB,Rajadão
4K78wt1p2bPauIouOPaman,Clean
