track_id,track_name
0aaXlBnXiyn4Wrvgp9Hlya,It's All Coming Back to Me Now
1241jF37pBXCvBSkmKT6mC,Welcome To New York
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me
3NxWJWftvkstyxvb1pZlFo,Teeth
0V3wPSX9ygBnCm8psDIegu,Anti-Hero
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer
4lIxdJw6W3Fg4vUIYCB0S5,Style
5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze
6Btm58w6piKC2XRDV94OYH,Waves
1cmT1qbBuniOugI6i5sipz,Midnight Rain
5ulFSVUSyWRiPdMnCKyV1s,Shake It Off
46r9znpbcztTA9NujwbA9d,Out Of The Woods
2iUXsYOEPhVqEBwsqP70rE,Youngblood
1nLn0okqQ9ta2pgttzEMq3,Look What You Made Me Do
1p80LdxRV74UKvL8gnD7ky,Blank Space
2wxgkTPRT6jBuLVAxo8903,Shameless
1ZMiCix7XSAbfAJlEZWMCp,Falling
4xFbopI5p3SLAT8bnvRdPo,Gorgeous
1dGr1c8CrMLDpV6mPbImSI,Lover
64NT1ubbFFO119pS30Sg4y,The Archer
