track_id,track_name
0bH72NbquUwIdKjExSqBEC,Desireless
4pWsXhLUdtBKlw9npIXZAl,Halls na Língua
7irwJwyTezUZg0P3CB1D0V,Refém - Ao Vivo
5D2mYZuzcgjpchVY1pmTPh,Candy Shop
07fbDnkKdZGk1gLvknxrns,RUNAWAY
3gVWiEvbZF720UTIhGmigQ,Cor de Ouro - Ao Vivo
2rzkq77cfnspiLUPYRiePy,I Wanna Love You
2WQqwW1Ip0MjtOpZHSzfj5,Titanic
4MoyTrUaX3PzVHn9TKRcpz,Tarzan Boy
40gCZlpirbwkniuD5I9lDk,60 Segundos - Ao Vivo
36msBnH60GyWof23sMdQSL,Me Bloqueia - Ao Vivo
4jfrYKXNZoFjvdYtoaD70m,Caso Consumado - Ao Vivo
4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull)
46oPxSyS5ZZLg0EbqsKW4x,Juliet E Chapelão (Ao Vivo)
4t6eam3rC9JoNFVkfOHK4s,Pátio do Posto - Ao Vivo
5CsTUMFJ4VtjJg0Fndql8p,Seu Veneno
5Gz0tofb5R65ew94M2nkHD,Set Dj Wesley Gonzaga
5ZZmSsBeg6BXS0g3IyOWwo,Meu Corpo da Sinal
6ZcbbsL3H2acL7tZFH4lnL,Coração / Revelação - Ao Vivo
0zZnBbRW4Dt4cJKVtUQFwF,Balada - Ao Vivo
