,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,7wdwIaXUuzlu1grzWMFRJm,Mary On A Cross,Ghost,"['hard rock', 'metal']",[MESSAGE FROM THE CLERGY],1Qp56T7n950O3EGMsSl81D,77,244804,False,0.467,0.9,11,-4.505,1,0.0451,0.000187,0.000493,0.105,0.554,130.027,4,https://i.scdn.co/image/ab67616d00001e02f7dbc53976b1ed64fa5c172b
1,6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,"['canadian pop', 'pop']",Justice,1uNFoZAHBGtllmzznpCI3s,89,153190,False,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,4,https://i.scdn.co/image/ab67616d00001e02e6f407c7f3a0ec98845e4431
2,1daDRI9ahBonbWD8YcxOIB,Angels Like You,Miley Cyrus,['pop'],Plastic Hearts,5YGY8feqx7naU7z4HrwZM6,94,196453,False,0.672,0.642,5,-4.035,1,0.0313,0.0981,0,0.1,0.494,121.981,4,https://i.scdn.co/image/ab67616d00001e028cffb7c6c40759eaf8a5a142
3,6jugu0rJWQUxwP6YekuYh7,Miley Cyrus,Ying Yang Twins,"['atl hip hop', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'southern hip hop']",Twerking Hitz,44PA0rCQXikgOWbfY7Fq7m,0,216659,False,0.762,0.809,4,-5.074,0,0.0781,0.00731,0.000182,0.218,0.402,98.06,4,https://i.scdn.co/image/ab67616d00001e02682ec10d51d2e55e1fb8254e
4,66tHO11PSLP7u25A6XM4iR,"Love, Love",Cedarmont Kids,['vbs'],Songs Of Praise,0MCU2OpgnSB7rm5UPUMHgt,8,142960,False,0.577,0.108,9,-18.084,0,0.031,0.898,0,0.0794,0.491,129.64,4,https://i.scdn.co/image/ab67616d00001e0221fd70c3c9345cc725f6260e
5,2vRBYKWOyHtFMtiK60qRz7,Trevo (Tu),ANAVITÓRIA,"['folk brasileiro', 'nova mpb', 'pop lgbtq+ brasileira', 'pop nacional']",ANAVITÓRIA,1sPg5EHuQXTMElpZ4iUgXe,70,205467,False,0.676,0.374,10,-8.201,1,0.0266,0.877,0.000132,0.165,0.2,99.825,4,https://i.scdn.co/image/ab67616d00001e0289de16b800bd88301aa9120f
6,1JZRWSu4YTJKsS4sISx0pZ,Accidentally In Love,Piano Tribute Players,['piano cover'],Counting Crows Piano Tribute EP,4Xx6QMLTWppMwdABkN0Afj,2,153482,False,0.526,0.46,7,-12.635,1,0.0442,0.987,0.803,0.119,0.255,137.941,4,https://i.scdn.co/image/ab67616d00001e026e88010bc7e9251dc9427ccd
7,71SihT5A44ig0cNL3IvaPh,Counting Crows,The Fabulous Downey Brothers,[],Turf,5cukqmiZHV0jpfswY5w9Xs,22,182358,False,0.817,0.559,0,-8.415,1,0.0347,0.0599,0.336,0.0217,0.796,140.04,4,https://i.scdn.co/image/ab67616d00001e02c1521b4a047b3dfeec05c72a
8,7AdPYJXUpaLEdP3Ce0lEBP,Cadeias Quebrar (Break Every Chain) / As Trevas Estremecem (Tremble),Kemuel,"['adoracao', 'brazilian gospel', 'coral gospel', 'groove gospel']",Kemuel Nation,5GHeXsPtAVd0KLe1oMikxm,46,333529,False,0.446,0.74,2,-5.846,1,0.0759,0.234,0,0.112,0.263,135.987,4,https://i.scdn.co/image/ab67616d00001e021cb17941904474dda7b07cb6
9,3BovdzfaX4jb5KFQwoPfAw,Beat It,Michael Jackson,"['r&b', 'soul']",Thriller,3fMbdgg4jU18AjLCKBhRSm,78,258399,False,0.776,0.711,3,-9.03,0,0.0473,0.0242,0.000353,0.234,0.901,138.728,4,https://i.scdn.co/image/ab67616d00001e02de437d960dda1ac0a3586d97
