,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,5t7E1z1kVtHyPxWNmUtXN4,Te Love - Ao Vivo,Kevi Jonny,['arrocha'],"Com Amor Kevi Jonny (Ao Vivo, Em Goiânia)",3PVg0vaMUNTOu7C2GmYfSg,66,169002,True,0.774,0.917,1,-3.007,1,0.049,0.259,0,0.355,0.891,130.003,4,https://i.scdn.co/image/ab67616d00001e026d4832b686b5fc08c1819598
1,7wdwIaXUuzlu1grzWMFRJm,Mary On A Cross,Ghost,"['hard rock', 'metal']",[MESSAGE FROM THE CLERGY],1Qp56T7n950O3EGMsSl81D,77,244804,False,0.467,0.9,11,-4.505,1,0.0451,0.000187,0.000493,0.105,0.554,130.027,4,https://i.scdn.co/image/ab67616d00001e02f7dbc53976b1ed64fa5c172b
2,6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,"['canadian pop', 'pop']",Justice,1uNFoZAHBGtllmzznpCI3s,89,153190,False,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,4,https://i.scdn.co/image/ab67616d00001e02e6f407c7f3a0ec98845e4431
3,6nek1Nin9q48AVZcWs9e9D,Paradise,Coldplay,"['permanent wave', 'pop']",Mylo Xyloto,4gzpq5DPGxSnKTe4SA8HAU,87,278719,False,0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,4,https://i.scdn.co/image/ab67616d00001e02de0cd11d7b31c3bd1fd5983d
4,2Ew7iSeSFcvEg5CsrxIIvX,Coldplay,Toon Dragon,[],Vol. I,1gWpG7fRJYKD9Rt2vJQUWm,2,141093,True,0.665,0.681,8,-8.458,1,0.356,0.302,0,0.0964,0.534,91.075,4,https://i.scdn.co/image/ab67616d00001e02032c588fb9132e2a0eb8c619
5,1NXnEQBxVBPs6DEJB1d7gX,She Doesn't Mind,Luther Vandross,"['quiet storm', 'soul']",Power Of Love,19y5MFBH7gohEdGwKM7QsP,22,245853,False,0.542,0.937,6,-6.899,0,0.0414,0.0422,6.86e-06,0.0757,0.772,177.194,4,https://i.scdn.co/image/ab67616d00001e0270c1b184ebb095eada043b97
6,1daDRI9ahBonbWD8YcxOIB,Angels Like You,Miley Cyrus,['pop'],Plastic Hearts,5YGY8feqx7naU7z4HrwZM6,94,196453,False,0.672,0.642,5,-4.035,1,0.0313,0.0981,0,0.1,0.494,121.981,4,https://i.scdn.co/image/ab67616d00001e028cffb7c6c40759eaf8a5a142
7,6jugu0rJWQUxwP6YekuYh7,Miley Cyrus,Ying Yang Twins,"['atl hip hop', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'southern hip hop']",Twerking Hitz,44PA0rCQXikgOWbfY7Fq7m,0,216659,False,0.762,0.809,4,-5.074,0,0.0781,0.00731,0.000182,0.218,0.402,98.06,4,https://i.scdn.co/image/ab67616d00001e02682ec10d51d2e55e1fb8254e
8,59vJtY3VvRafWDeLW8ET6Z,Cool Kids,Vitamin String Quartet,['bow pop'],"VSQ Performs the Hits of 2014, Vol. 3",6MERXsiRbur2oJZFgYRDKz,27,214146,False,0.566,0.221,9,-12.025,1,0.0339,0.746,0.387,0.271,0.678,129.945,4,https://i.scdn.co/image/ab67616d00001e021c2a0c0ce5441bca49e3dbc1
9,6D60klaHqbCl9ySc8VcRss,Stronger (What Doesn't Kill You),Kelly Clarkson,"['dance pop', 'pop', 'talent show']",Stronger (Deluxe Version),3BmGtnKgCSGYIUhmivXKWX,70,221946,False,0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,4,https://i.scdn.co/image/ab67616d00001e02253e3f8fce535f72a6b2c4ba
