,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,5QFX7SES3HdEwejNp8erMZ,Alone Again,Jay-Jay Johanson,"['swedish electropop', 'swedish singer-songwriter', 'trip hop']",Poison,4hzC9WUUy3cFituT71tzB4,16,276000,False,0.578,0.45,8,-11.963,1,0.0285,0.00742,7.92e-05,0.224,0.447,78.161,4,https://i.scdn.co/image/ab67616d00001e02fd61fd4198e0f814e18e3a89
1,48gS3f9HDsXtlMBVdwvC2Z,Do You Really Want It,NOTHING MORE,['post-grunge'],The Stories We Tell Ourselves,39VNwvlQTqE9SvgPjjnMpc,53,233333,False,0.223,0.891,7,-4.918,1,0.133,8.6e-05,0.000422,0.107,0.558,170.6,4,https://i.scdn.co/image/ab67616d00001e022a8d51b21aff8642f30818b0
2,7vehOyii6F4CtFjsF24IhQ,Black Hole,Urinals,['early us punk'],Negative Capability...Check it Out!,0fWJsXOUH83NNlUuVcszVK,34,78426,False,0.435,0.864,4,-9.218,1,0.0621,0.15,0.428,0.407,0.91,170.282,4,https://i.scdn.co/image/ab67616d00001e02bc1f31c3bdbb019e1b48c8a0
3,30OWfvINjHO7vCAdDClwtP,Agree to Disagree,Oaklyn,[],Chasing the Sun,3ie0n4LBpAsIwCfH6AJ2iN,0,243555,False,0.899,0.252,6,-8.844,0,0.0752,0.0777,0.00136,0.506,0.508,89.996,4,https://i.scdn.co/image/ab67616d00001e02056e3af433cf956c2846f5c2
4,4sX4O9mgw76aWhehf1eSRD,Gone,Jack Johnson,['neo mellow'],On And On,3GBPw9NK25X1Wt2OUvOwY3,69,130013,False,0.816,0.338,11,-11.989,0,0.0471,0.832,0.00104,0.119,0.756,97.027,4,https://i.scdn.co/image/ab67616d00001e024a25251f8c645064ebdec45b
5,1R75DOAVVgWHOOaHp3P8r5,The Taste of Ink,Vitamin String Quartet,['bow pop'],VSQ Performs The Used,6MERXsiRbur2oJZFgYRDKz,12,233933,False,0.4,0.283,7,-5.854,1,0.0277,0.795,0.0255,0.185,0.222,94.062,4,https://i.scdn.co/image/ab67616d00001e029a382c9b895d148e6f485681
6,2MfOcbtgz2yTsiznFmVZUN,Halo,Beyoncé,"['pop', 'r&b']",I AM...SASHA FIERCE,6vWDO969PvNqNYHIOW5v0m,71,261640,False,0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,4,https://i.scdn.co/image/ab67616d00001e022fd16e69054586f25be54f49
7,3gY25vepRvvspuoAfxCyRO,Soil,System Of A Down,"['alternative metal', 'nu metal', 'rap metal', 'rock']",System Of A Down,5eAWCfyUhZtHHtBdNk56l1,56,205800,True,0.29,0.937,8,-3.557,1,0.137,0.000238,0.0589,0.317,0.408,148.357,4,https://i.scdn.co/image/ab67616d00001e022dc63e977bd5101072adcef6
8,5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,['lgbtq+ hip hop'],MONTERO,7jVv8c5Fj3E9VhNjxT4snq,81,212352,True,0.741,0.691,10,-7.395,0,0.0672,0.0221,0,0.0476,0.892,150.087,4,https://i.scdn.co/image/ab67616d00001e02be82673b5f79d9658ec0a9fd
9,55UWXUtvtXi2Meod3CYBbu,Feel Good Inc.,Gorillaz,"['alternative hip hop', 'modern rock', 'rock']",Rhythms Del Mundo Revival,3AA28KZvwAUcZuOKwyblJQ,28,202496,False,0.859,0.739,6,-6.825,1,0.0645,0.354,8.48e-05,0.242,0.878,138.301,4,https://i.scdn.co/image/ab67616d00001e023ff61c62794fa8fc3470b71c
