,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,4NphpeYm7v5JmLa6IGOC0P,Slipping Through My Fingers,Alan Bonner,[],The Way Old Friends Do,4TOejlHCdysOwhLUPVc2md,0,273000,False,0.444,0.372,4,-9.713,1,0.0348,0.846,0,0.0863,0.23,121.852,4,https://i.scdn.co/image/ab67616d00001e020c3eef1c2e06b8b1d266fffa
1,7sTYPovuHFjhdAsu53agiJ,Um Sonho Louco (Acústico),Bruno & Marrone,"['sertanejo', 'sertanejo universitario']",Acústico Ii - Vol. 1,5JXhkyafynxCvxtov7C1PV,45,235013,False,0.498,0.622,2,-7.396,1,0.0323,0.401,4.17e-05,0.547,0.462,147.815,4,https://i.scdn.co/image/ab67616d00001e02ea30a3d0b9d68c1604f3d7be
2,3iJKQJeN1vbU2VQhzun1Fs,Mind Over Matter,Massimo,[],Mind Over Matter,46uphg1gkRzSckzfFR9HFa,0,362626,False,0.294,0.721,1,-13.331,1,0.0495,0.238,0.76,0.111,0.503,183.351,5,https://i.scdn.co/image/ab67616d00001e028381c0a6231596e6945fc22d
3,2jyNhFoDBpQJ0OfVwyh0iR,Everything I Own,Blue Lagoon,['bubblegum dance'],Sentimental Fools,6OZuwa0EYjsyP2wSAKIu3P,0,191226,False,0.858,0.751,11,-6.108,1,0.0375,0.0472,7.56e-05,0.341,0.83,103.99,4,https://i.scdn.co/image/ab67616d00001e02ee037fc9e86078301538c9f2
4,5TdDPgEvQ2l5FXZY7n8L4J,Bread,On! Air! Library!,['american post-rock'],On! Air! Library!,6of9JX9CZzkTR72NJm46x8,0,258893,False,0.358,0.652,2,-5.28,1,0.0334,0.235,0.0142,0.373,0.0745,121.277,4,https://i.scdn.co/image/ab67616d00001e0239e66054b0a665cfdb21e0bb
5,2vuSWc5vHo7my0wBZvPctI,Pra Não Morrer de Amor (Malherido) [Acústico]),Bruno & Marrone,"['sertanejo', 'sertanejo universitario']",Acústico Ii - Vol. 1,5JXhkyafynxCvxtov7C1PV,44,219933,False,0.676,0.621,0,-7.209,1,0.029,0.57,1.27e-06,0.702,0.307,127.976,4,https://i.scdn.co/image/ab67616d00001e02ea30a3d0b9d68c1604f3d7be
6,37F0uwRSrdzkBiuj0D5UHI,Reminder,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",Starboy,1Xyo4u8uXC1ZmMpatF05PJ,90,218880,True,0.706,0.505,8,-6.923,1,0.193,0.142,0,0.164,0.388,160.053,4,https://i.scdn.co/image/ab67616d00001e024718e2b124f79258be7bc452
7,1XEMks82kl148ACzTJUEu8,Assim Como o Sol (Acústico),Bruno & Marrone,"['sertanejo', 'sertanejo universitario']",Acústico Ii - Vol. 1,5JXhkyafynxCvxtov7C1PV,35,176093,False,0.61,0.62,6,-7.199,1,0.0421,0.786,0,0.706,0.536,139.898,4,https://i.scdn.co/image/ab67616d00001e02ea30a3d0b9d68c1604f3d7be
8,6sR4X4tF9RIaidFKV1i7I7,When We Were Young,Hosannas,['portland indie'],Together,3MOXu8DfF3VUfC7WmNBb8D,0,249626,False,0.362,0.891,9,-5.894,0,0.0762,0.00584,0.762,0.106,0.36,145.611,4,https://i.scdn.co/image/ab67616d00001e021ad4ceb27de4895b3b9fe4bb
9,6T4ktdFCcS8F0KQI20FTEh,Adele,Rodeo Terrorists,[],Last Man Standing,2HlNfoIxYsyWIhfexCF3tc,0,432000,False,0.614,0.925,5,-7.476,0,0.0378,0.00846,0.928,0.0641,0.696,119.997,4,https://i.scdn.co/image/ab67616d00001e02916f707e7b91649f619ecbba
