,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,0In2bqHMVomG4UpXYCT1nU,Partners,People Like Us,"['british experimental', 'collage pop', 'plunderphonics', 'sound art', 'sound collage']",Music for the Fire,0FpfuyMD09EjZ77b0rksQp,1,168733,False,0.548,0.286,7,-12.207,1,0.23,0.67,0.501,0.365,0.441,133.235,4,https://i.scdn.co/image/ab67616d00001e028759df3276c217797fd5d14e
1,6XEUh8NRRqtwDQAVaZxoFx,Cristal,Simón Díaz,"['classic venezuelan pop', 'venezuelan rock']",Sus Grandes Exitos,29GjVRVQSln078FWYOX4r4,18,188266,False,0.431,0.546,4,-11.999,0,0.0367,0.884,0.0502,0.274,0.846,80.28,4,https://i.scdn.co/image/ab67616d00001e02aaedad21cb4ab8b35f5621ac
2,0ABmZKhFUB9giaCBrZtOxk,Danse Macabre,Kraak & Smaak,"['bboy', 'indie soul', 'nu disco']",Boogie Angst,7c5qu1gNlg8jWDzzmlp89O,35,329840,False,0.655,0.637,10,-10.427,1,0.0296,0.884,0.127,0.102,0.355,132.776,4,https://i.scdn.co/image/ab67616d00001e02db940aba16531d75ecb9a8fb
3,1sPaxtqIWqk34n8nQ7YyBM,"Mephisto Waltz No. 1, S. 514",Franz Liszt,"['classical', 'late romantic era']",Classics From The Crypt,1385hLNbrnbCJGokfH2ac2,2,679560,False,0.2,0.215,1,-17.748,1,0.0643,0.848,0.61,0.102,0.0609,180.569,4,https://i.scdn.co/image/ab67616d00001e02331c74b9d562b979164f59b0
4,0PijoCJtD6iTbaLgvVVIPp,From Olympus,Darren Korb,"['indie game soundtrack', 'video game music']",Hades: Original Soundtrack,0ZMWrgLff357yxLyEU77a1,41,191918,False,0.78,0.354,5,-12.346,0,0.0446,0.651,0.894,0.108,0.665,108.041,3,https://i.scdn.co/image/ab67616d00001e0210d3316d88b3123e75a24d48
5,6TGUMnc3CkccFauvHYnLTv,"The Planets, Op. 32: III. Mercury, the Winged Messenger",Various Artists,[],"Holst: The Planets / The Mystic Trumpeter, Op. 18",0LyfQWJT6nXafLPZqxe9Of,0,238306,False,0.24,0.0634,5,-29.84,1,0.0494,0.93,0.756,0.0969,0.0834,119.7,3,https://i.scdn.co/image/ab67616d00001e0247231297683b80e50b71a1d5
6,3IOEJ2vvxf1Y5T2nBQxZvp,"Hungarian Rhapsody No. 19 in D Minor, S. 244/19: Lento",Franz Liszt,"['classical', 'late romantic era']","The Complete Masterworks Recordings Vol. I, The Studio Recordings 1962-1963",1385hLNbrnbCJGokfH2ac2,0,581800,False,0.367,0.153,2,-21.252,0,0.038,0.982,0.894,0.155,0.0757,138.917,4,https://i.scdn.co/image/ab67616d00001e0266a2e28fc2d6459cc0949373
7,0LpDYb5oOojdlOfUI6p7Ud,Song That Might Play When You Fight Sans,Fifth House Ensemble,"['modern chamber music', 'pixel']",Undertale LIVE,4DX5gNbRfhyjECf5QECbhG,4,65931,False,0.443,0.528,1,-11.903,1,0.127,0.0425,0.6,0.302,0.613,118.131,4,https://i.scdn.co/image/ab67616d00001e02437d07acec3ff72213a70559
8,5BedBc1MsDstH84OMlrt80,El Noi de la Mare,Traditional,"['christmas instrumental', 'gregorian chant', 'puirt-a-beul', 'sleep']",Around Christmas,1U5zgr455OGyIkLNXvDdrf,0,225666,False,0.189,0.0534,8,-21.191,1,0.042,0.955,0.00393,0.148,0.0744,84.685,4,https://i.scdn.co/image/ab67616d00001e026c90269d878af9c65b423131
9,5tIkdi5A8K6IR2TnvG8ZZL,"Kinderszenen, Op. 15: No. 8, Am Kamin",Robert Schumann,"['early romantic era', 'german romanticism']","The Complete Masterworks Recordings Vol. I, The Studio Recordings 1962-1963",2UqjDAXnDxejEyE0CzfUrZ,0,66400,False,0.478,0.0793,5,-27.886,1,0.051,0.995,0.913,0.0909,0.322,119.632,1,https://i.scdn.co/image/ab67616d00001e0266a2e28fc2d6459cc0949373
10,7lL3Q908aZ9guZqDFuLlrB,Zapateado,Pablo de Sarasate,"['classical', 'late romantic era', 'violin']",Heifetz: Rediscovered,3L1iFJfRzE7yzilr2yGl6t,0,205933,False,0.453,0.276,9,-16.783,1,0.0543,0.973,0.0176,0.0562,0.699,80.075,4,https://i.scdn.co/image/ab67616d00001e0222d4430504bc43a9ef68948f
11,1lTdR8ZTmKq8BLgMwt0Jeh,Alegrias,La Niña de los Peines,"['cante flamenco', 'flamenco', 'rumba']",The Secret Museum Of Mankind Vol. 1: Ethnic Music Classics (1925-48),3ojrcDxnCzlXTa04Nj9qRd,0,162333,False,0.499,0.331,1,-15.798,1,0.0732,0.993,0.663,0.113,0.447,89.399,3,https://i.scdn.co/image/ab67616d00001e02ca582d2a7a65078af548c3d6
12,5jn6sZJMgpkat8Q8Ccfz2Q,Solea,Jaco Abel,[],Miles Español,5NHam5cYmT6BkHDlxytTV2,1,433693,False,0.709,0.568,5,-10.212,1,0.0499,0.705,0.852,0.119,0.242,145.985,3,https://i.scdn.co/image/ab67616d00001e021429b858dfc881e4cf8927c7
13,0VkLICZvOg37kdDShvpmSL,El Vito,Chus Alonso,[],Flamenco Cat,0LgrlkTuxt12hc9mP264z1,0,254480,False,0.597,0.628,5,-6.472,0,0.0346,0.66,0.147,0.0703,0.576,110.738,3,https://i.scdn.co/image/ab67616d00001e02b649c372129dd68b21235cd8
14,4ym8ZU8YzpioSyj7neyKNW,"Weinen, Klagen, Sorgen, Zagen, S. 179 (after J. S. Bach)",Franz Liszt,"['classical', 'late romantic era']",Horowitz: The Last Recording,1385hLNbrnbCJGokfH2ac2,5,323373,False,0.364,0.0185,1,-28.131,1,0.0403,0.993,0.863,0.101,0.0411,139.015,4,https://i.scdn.co/image/ab67616d00001e023850ea7c5cc6cb2726a620c4
