,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,7AwVSKaQxpidrtYBerkHKk,Pipoco,Ana Castela,"['agronejo', 'funk rj', 'sertanejo pop']",Pipoco,2CKOmarVWvWqkNWUatHCex,78,194022,False,0.774,0.742,8,-4.178,1,0.0766,0.473,0.000472,0.342,0.736,134.991,4,https://i.scdn.co/image/ab67616d00001e02c639c6288e1733b7cdda7770
1,5yscNPMHmhqHQX9B9GFzMp,Te Esqueci Sem Querer - Ao Vivo Em Brasília,Henrique & Juliano,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",To Be (Ao Vivo Em Brasília EP3),3p7PcrEHaaKLJnPUGOtRlT,82,151092,False,0.635,0.789,6,-5.037,1,0.0365,0.194,0,0.966,0.666,106.12,4,https://i.scdn.co/image/ab67616d00001e028ed2b4d0964f40eada2a6ac9
2,2OGX2HdWi7FaI63QeXNqeh,M de Mulher (Ao Vivo),Ícaro e Gilmar,['agronejo'],A Gente Acertou (Ao Vivo),6Wlvsn3IPHiZwAv02lB5eC,55,184725,False,0.564,0.78,0,-5.349,1,0.0542,0.537,0,0.607,0.475,92.55,4,https://i.scdn.co/image/ab67616d00001e021af79879c74a2e7e7521a479
3,0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,Henrique & Juliano,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",To Be (Ao Vivo Em Brasília EP1),3p7PcrEHaaKLJnPUGOtRlT,88,172005,False,0.483,0.91,11,-3.474,1,0.0845,0.13,0,0.395,0.576,166.057,4,https://i.scdn.co/image/ab67616d00001e02bd4069a0dd7e469e87e05a6c
4,77BR4gaUAp3p0uA8UL6HT9,Não Para,Belle Kaffer,[],Não Para,4N2lyAuQF0kXt3UnsN7XZx,83,180923,False,0.892,0.655,7,-7.03,1,0.069,0.116,1.63e-06,0.176,0.764,129.959,4,https://i.scdn.co/image/ab67616d00001e0221efac283c383b4e752ebb44
5,4QWumyD2uwiePBBha9XBHI,No Ouvidinho,Felipe Amorim,"['arrocha', 'arrochadeira']",No Ouvidinho,3CIIaeZuFYrAD6PRVyuO4U,72,183870,True,0.885,0.834,3,-3.374,1,0.0394,0.403,3.22e-05,0.0865,0.84,124.018,4,https://i.scdn.co/image/ab67616d00001e025c40e48b405cfda65bb70ad0
6,0DlHQxrVijRqVUfuS6PKaY,Deixa de Onda (Porra Nenhuma),DENNIS,"['funk carioca', 'funk das antigas', 'sertanejo universitario']",Deixa de Onda (Porra Nenhuma),6xlRSRMLgZbsSNd0BMobwy,62,184999,True,0.815,0.69,9,-4.622,1,0.0469,0.29,0,0.312,0.654,135.036,4,https://i.scdn.co/image/ab67616d00001e02044b7bf710a1f95d97619416
7,0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,Israel & Rodolffo,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']","Let's Bora, Vol. 3 (Ao Vivo)",41QLxRXlc2NwfJZkHGHKid,78,147132,False,0.708,0.806,4,-4.253,1,0.0527,0.461,0,0.578,0.681,125.075,4,https://i.scdn.co/image/ab67616d00001e0252106ca92229e0bbb427358a
8,2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,Matheus Fernandes,['arrocha'],Balanço da Rede,37mqXU98U5GmH5ZDtlHM1c,75,166435,False,0.764,0.796,6,-4.611,0,0.033,0.193,0,0.0853,0.924,140.072,4,https://i.scdn.co/image/ab67616d00001e02aa9c7cb06195bda7a55d9fd0
9,7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,Hugo & Guilherme,"['agronejo', 'arrocha', 'sertanejo universitario']","Original, Vol. 1 (Ao Vivo)",1LIuN7ov1IBQDdLsU83ojl,72,171730,False,0.61,0.818,11,-5.202,1,0.0589,0.469,0,0.245,0.736,158.022,4,https://i.scdn.co/image/ab67616d00001e02ed58b5ac4b251188391a9d62
10,6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,Murilo Huff,"['arrocha', 'sertanejo universitario']",Quem tá Pegando,3hq7WoPJsrRP0KMSLhUgRz,76,162865,False,0.736,0.818,8,-4.605,1,0.083,0.148,0,0.673,0.86,125.929,4,https://i.scdn.co/image/ab67616d00001e0269c593675cfe100d04ff8129
11,7prmcm99rzKDgaSZ33bJqH,Amigo Apaixonado - Ao Vivo,Leo Chaves,[],Surra de Flores / Amigo Apaixonado (Ao Vivo),0FYpZOHSyfPpCSsLwydVbL,48,278777,False,0.579,0.739,7,-4.751,1,0.0329,0.197,0,0.818,0.335,128.003,4,https://i.scdn.co/image/ab67616d00001e02e40349483228cb1111082e2d
12,3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,Zé Neto & Cristiano,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']","Escolhas, Vol. 1 (Ao Vivo)",487N2T9nIPEHrlTZLL3SQs,89,159158,False,0.67,0.668,2,-6.411,1,0.0459,0.601,0,0.803,0.552,107.995,4,https://i.scdn.co/image/ab67616d00001e026633bd23e871e64d262b428a
13,7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,Henrique & Juliano,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",Rancorosa (Ao Vivo Em Brasília),3p7PcrEHaaKLJnPUGOtRlT,85,181457,False,0.644,0.872,5,-4.187,1,0.0563,0.308,0,0.536,0.507,142.02,4,https://i.scdn.co/image/ab67616d00001e020ab331868aa9165f2987081d
14,6obqb3vA4kufqEHibtF5W1,Guarda Roupa - Ao Vivo,Fred & Fabrício,['agronejo'],"Acústico de Primeira 2, Vol. 1 (Ao Vivo)",37eYuWTOZtUG8PgFOsj9h8,71,180844,False,0.637,0.679,0,-3.984,1,0.0333,0.75,0,0.533,0.426,109.928,4,https://i.scdn.co/image/ab67616d00001e02d5b8eecb320861870a5dbe2d
15,4t6eam3rC9JoNFVkfOHK4s,Pátio do Posto - Ao Vivo,Zé Neto & Cristiano,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']","Escolhas, Vol. 1 (Ao Vivo)",487N2T9nIPEHrlTZLL3SQs,84,178547,False,0.479,0.645,3,-7.058,0,0.0425,0.642,0,0.698,0.575,139.32,4,https://i.scdn.co/image/ab67616d00001e026633bd23e871e64d262b428a
16,7tgGpFp1FtgLtqrFB7LNeo,Nem Que Seja Chorando - Ao Vivo,Hugo & Guilherme,"['agronejo', 'arrocha', 'sertanejo universitario']","Original, Vol. 1 (Ao Vivo)",1LIuN7ov1IBQDdLsU83ojl,77,191496,False,0.605,0.72,4,-5.905,0,0.0398,0.275,0,0.447,0.618,138.936,3,https://i.scdn.co/image/ab67616d00001e02ed58b5ac4b251188391a9d62
17,5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,Maiara & Maraisa,"['sertanejo', 'sertanejo universitario']",Identidade (Ao Vivo),59jlthNnbmim5l9tmNA7se,72,165000,False,0.596,0.85,11,-4.528,1,0.0523,0.608,0,0.41,0.531,138.057,4,https://i.scdn.co/image/ab67616d00001e02e73ba02d00407dab676326a3
18,2Xa5Nm420o4TKl3Cqgf7Kb,Clone,Terranova,['trip hop'],B-Sides and Remix Sessions,5ZrGK55yglfGEOvnB2japP,0,239266,False,0.746,0.296,0,-20.311,0,0.0784,0.871,0.94,0.111,0.692,109.968,4,https://i.scdn.co/image/ab67616d00001e0240c13e3ab4977f7c66a16b6b
19,1cmH3nQCYgR8lmq1ZFAXcI,Alô Inveja - Ao Vivo Em Brasília,Henrique & Juliano,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",To Be (Ao Vivo Em Brasília EP1),3p7PcrEHaaKLJnPUGOtRlT,75,184307,False,0.568,0.938,9,-3.752,1,0.225,0.249,0,0.979,0.442,119.869,4,https://i.scdn.co/image/ab67616d00001e02bd4069a0dd7e469e87e05a6c
