,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,6UHMmTS8TfWK3vKvoEZOQG,Me Gusta - AgroPlay Verão,AgroPlay,['agronejo'],Me Gusta (AgroPlay Verão),0uGWkZRPp1Urk77XBrPBsZ,77,152673,False,0.716,0.848,7,-2.885,1,0.184,0.215,0,0.0487,0.884,90.145,4,https://i.scdn.co/image/ab67616d00001e02fcbcb9f706b11761dd661e73
1,0FBV7lozkqCSuV2q24n43x,Minha Vida é um Filme,Teto,"['trap baiano', 'trap brasileiro']",Minha Vida é um Filme,68YeXpLt3jB7JHQS5ZjMGo,77,186666,True,0.855,0.75,5,-5.392,0,0.0676,0.154,9.12e-06,0.312,0.59,99.001,4,https://i.scdn.co/image/ab67616d00001e023332f64b83023d3d75e31699
2,1uCasGURHhzPYiA7Hx7Rp6,Duas Doses,Oliveira,[],Duas Doses,65ZE0dYy4XIHtFBAGMKHhI,58,176326,False,0.545,0.758,8,-7.338,0,0.559,0.185,0,0.0881,0.296,98.4,4,https://i.scdn.co/image/ab67616d00001e02cae452fd1fea2317d91cf6f3
3,4JwwAxvprUGhrecdjSjfHN,Essa Eu Fiz Pro Nosso Amor,Jão,['pop nacional'],ANTI-HERÓI,59FrDXDVJz0EKqYg39dnT2,66,194566,False,0.822,0.39,0,-9.324,1,0.0868,0.612,0,0.11,0.625,129.895,4,https://i.scdn.co/image/ab67616d00001e02613ea48beb2b6eb2ffb04e39
4,4t6eam3rC9JoNFVkfOHK4s,Pátio do Posto - Ao Vivo,Zé Neto & Cristiano,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']","Escolhas, Vol. 1 (Ao Vivo)",487N2T9nIPEHrlTZLL3SQs,84,178547,False,0.479,0.645,3,-7.058,0,0.0425,0.642,0,0.698,0.575,139.32,4,https://i.scdn.co/image/ab67616d00001e026633bd23e871e64d262b428a
5,2F4wyz6gkLTbyD9b5vTVoh,Incrível Jogando a Potranca,Mc Gabzin,['funk mtg'],Incrível Jogando a Potranca,5RmXJq0g7MNmgtxXLGbd6K,61,110769,False,0.65,0.435,11,-1.87,0,0.0983,0.398,2.04e-05,0.0933,0.307,83.997,5,https://i.scdn.co/image/ab67616d00001e02cad307f68a179a36a8ced549
6,3emWP5AGvDHFAlHlCOPiqT,O Poder Dessa Garota,Mc Gabzin,['funk mtg'],O Poder Dessa Garota,5RmXJq0g7MNmgtxXLGbd6K,73,136615,False,0.763,0.474,4,-3.584,0,0.0767,0.686,0,0.0835,0.788,86.585,5,https://i.scdn.co/image/ab67616d00001e02562350f9a5b159b377513774
7,745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,MC Guh SR,[],Ela Voltou de Perna Bamba,1jt8MU2um5rIprsn87sDtR,84,199384,True,0.647,0.899,7,-4.922,1,0.223,0.339,1.08e-05,0.111,0.225,130.167,4,https://i.scdn.co/image/ab67616d00001e0236f01ccc8d9cb96948f8860d
8,0dcHD9QhnWRA41zoLnC83X,X1,MC Cabelinho,"['funk consciente', 'trap brasileiro', 'trap funk']",LITTLE HAIR,1WQBwwssN6r8DSjUlkyUGW,80,188852,True,0.579,0.804,8,-5.024,1,0.0581,0.457,0,0.136,0.546,183.075,3,https://i.scdn.co/image/ab67616d00001e024f90d64d24d84a45e823c76e
9,0ssgd2ZvDawP0KHGfBYRpv,Good Vibe,Filipe Ret,['pop rap brasileiro'],LUME,7gJN8W0589FisSYJS17K54,76,181818,True,0.52,0.667,7,-5.699,1,0.128,0.0808,0,0.114,0.328,131.628,4,https://i.scdn.co/image/ab67616d00001e02fab41c3357f00f3664b007e7
