,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,54ycwO4LgbQCEVqzJe9Tzp,Break the Cycle,Lil' Flip,"['crunk', 'dirty south rap']",Return of Da #1 Flyboy,4Q5sPmM8j4SpMqL4UA1DtS,0,301146,True,0.614,0.802,9,-5.645,0,0.231,0.00684,0,0.0858,0.493,176.06,4,https://i.scdn.co/image/ab67616d00001e022e6a9f63ef8577dcd151d57b
1,0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Evanescence,['alternative metal'],Fallen,5nGIFgo0shDenQYSE0Sn7c,85,235893,False,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,4,https://i.scdn.co/image/ab67616d00001e0225f49ab23f0ec6332efef432
2,0Qv7xi6uPSqH2k82tOkGSt,Mad World,Tears For Fears,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'sophisti-pop', 'synthpop']",The Hurting,4bthk9UfsYUYdcFyqxmSUU,70,215400,False,0.647,0.896,4,-5.949,1,0.0509,0.0709,0.0505,0.0614,0.953,118.729,4,https://i.scdn.co/image/ab67616d00001e0245546ed4af1a0d4c58a8ff50
3,3PavsmA9S6QA5lNmmsuOif,O Mundo É Um Moinho,Cartola,"['bossa nova', 'mpb', 'samba', 'velha guarda']",Cartola (1976),0RSWHhBUwW7lhCqXqxKxWN,56,233520,False,0.43,0.297,9,-12.505,1,0.0922,0.891,0.364,0.164,0.498,76.191,4,https://i.scdn.co/image/ab67616d00001e029854c0ddb18055c616154d18
4,4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,Grupo Menos É Mais,"['pagode', 'pagode novo']",Confia (Ao Vivo),6vTqEFbTtTRJsuIpzZgjxi,86,159322,False,0.691,0.752,4,-6.796,0,0.157,0.708,6.07e-06,0.912,0.684,167.073,4,https://i.scdn.co/image/ab67616d00001e0251e655c934f5bed04f867335
5,5ffDENIdtByAZxHpuuj9li,Vida Chique,Veigh,['trap brasileiro'],Dos Prédios,4YqwRbMLqGHRHLS1w2ZKse,81,210545,True,0.597,0.461,4,-6.686,0,0.389,0.557,0,0.249,0.553,106.609,4,https://i.scdn.co/image/ab67616d00001e02afdd3ee20cd7c4a636b07cce
6,5mYJPigQ10jLu673oz7nIJ,Eu Juro,Manu,"['arrocha', 'brega paraense']",Eu Juro,0CdnnCbbKD4oIzBmxi2o7r,50,243375,False,0.593,0.882,6,-4.034,1,0.0395,0.0718,7.97e-06,0.0529,0.837,164.034,4,https://i.scdn.co/image/ab67616d00001e02d9cb02e93db7a264c669b607
7,6l1U4fX41XmzZfi67q9i8X,Capricorniana,Mc Lzyn,[],Capricorniana,4CjwZ3c0XNrtf2JkXV0Ss6,76,170181,True,0.913,0.34,3,-7.807,1,0.134,0.184,7.7e-05,0.12,0.622,109.946,4,https://i.scdn.co/image/ab67616d00001e02082cb34f21936a587b1d8caa
8,1jN75lntOt4xnZlgxvagNK,Estúpido Cupido,Hermanos Martinez Gil,['bolero mexicano'],RCA 100 Años de Música,28L8txPUafzgMa9HllGtlv,15,154360,False,0.863,0.327,10,-11.736,1,0.118,0.217,2.97e-06,0.0909,0.783,127.715,4,https://i.scdn.co/image/ab67616d00001e024b0bd6f82f529b6145c462a0
9,0kpyiEcH82ni9TuuZYxKzL,Razões E Emoções,NX Zero,"['brazilian emo', 'brazilian rock', 'pop rock brasileiro', 'rock alternativo brasileiro']",NX Zero,1A3dFCPF68vh5lyxzBqLUH,64,222400,False,0.58,0.931,3,-2.886,1,0.0313,0.0543,0.000116,0.309,0.432,124.097,4,https://i.scdn.co/image/ab67616d00001e02aa591b352cc8c0966a81dbd8
10,4cqo9iiH4hk9foaeCKbzQ8,Metallica,P.E.E.,[],"Now, More Charm And More Tender",7hHxkvmbtZ6V2GHsJ447Lw,11,64200,False,0.332,0.744,2,-7.927,1,0.034,0.00125,0.186,0.266,0.719,143.956,4,https://i.scdn.co/image/ab67616d00001e025a46f57988b95c4b090c5024
11,1PQRwFvNM7xV65bIkHmDtx,Partilhar,Rubel,"['folk brasileiro', 'nova mpb', 'nova musica carioca']",Partilhar,0slVGXBggrLglTLNKbeEyW,68,262552,False,0.617,0.533,7,-6.386,1,0.0395,0.47,0,0.114,0.589,123.959,4,https://i.scdn.co/image/ab67616d00001e02aec778e0566da99fd6f80470
12,4oFjWv0hf8gPkG6ASFJTHz,All The Things She Said,Ilkay Sencan,"['turkish deep house', 'turkish edm']",All The Things She Said,5deLgmgAEgy8UHOfJ9Dj8w,53,169102,True,0.791,0.89,6,-4.845,1,0.0906,0.166,0.00319,0.489,0.256,105.056,4,https://i.scdn.co/image/ab67616d00001e02e309ab893eb8eccddac97e88
