,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,4kJYsnNUDANomlvCyu629J,1997,Probspot,['deep progressive trance'],Organic Waveforms,25b3yInH8F1O0e3GKdc19h,2,353120,False,0.595,0.888,6,-7.274,0,0.0377,0.0257,0.922,0.857,0.561,133.989,4,https://i.scdn.co/image/ab67616d00001e02b898d571b82ba2ba5f59f743
1,4oFjWv0hf8gPkG6ASFJTHz,All The Things She Said,Ilkay Sencan,"['turkish deep house', 'turkish edm']",All The Things She Said,5deLgmgAEgy8UHOfJ9Dj8w,53,169102,True,0.791,0.89,6,-4.845,1,0.0906,0.166,0.00319,0.489,0.256,105.056,4,https://i.scdn.co/image/ab67616d00001e02e309ab893eb8eccddac97e88
2,4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,"['art pop', 'electropop', 'pop']",Happier Than Ever,6qqNVTkY8uBg9cP3Jd7DAH,88,298899,True,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,3,https://i.scdn.co/image/ab67616d00001e022a038d3bf875d23e4aeaa84e
3,3ZmAY8XuVQfDL3v8i9NEwl,Billie Eilish,Eazy Mac,"['alberta hip hop', 'canadian hip hop']",Billie Eilish,1qHkWv9sHlhqmNdPbMU5tN,22,125235,True,0.718,0.428,8,-11.857,1,0.141,0.561,0.163,0.266,0.0885,100.928,4,https://i.scdn.co/image/ab67616d00001e020cd3b8f7bfc4dd18fbf62985
4,3WATWS2Ywo5HeHtG0bE2iZ,Teardrops,Bring Me The Horizon,"['melodic metalcore', 'metalcore', 'modern rock', 'pop punk', 'rock', 'uk metalcore']",POST HUMAN: SURVIVAL HORROR,1Ffb6ejR6Fe5IamqA5oRUF,71,215003,True,0.497,0.916,7,-3.323,1,0.108,0.000323,0,0.36,0.401,96.051,4,https://i.scdn.co/image/ab67616d00001e025149c948fde506624246a684
5,4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),Cardi B,"['pop', 'rap']",WAP (feat. Megan Thee Stallion),4kYSro6naA4h99UJvo89HB,81,187541,True,0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073,4,https://i.scdn.co/image/ab67616d00001e02c450c89d3eb750d3535b0a0c
6,2nG54Y4a3sH9YpfxMolOyi,Shy Away,Twenty One Pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",Scaled And Icy,3YQKmKGau1PzlVlkL1iodx,73,175044,False,0.588,0.856,9,-5.242,0,0.0316,0.000818,0.0739,0.238,0.635,96.966,4,https://i.scdn.co/image/ab67616d00001e0220b467550945fd123e00f0a5
7,1EQ8sBQ7Abv9DvNBzhXAcv,Pra Você Guardei O Amor,Nando Reis,"['brazilian rock', 'mpb', 'pop rock brasileiro']",Dres,7n1XMwvxPf10t4OX6h6Ufy,71,343813,False,0.485,0.386,2,-9.189,1,0.0388,0.837,0,0.207,0.354,91.615,4,https://i.scdn.co/image/ab67616d00001e02e6ce946387141316ba9aa975
8,05xQRKW8o04G0cxFqaP4wz,Amanheceu,Rubra,['rock baiano'],Sincronicidade,2dImmDLkfdVgJ1bogi7Ct1,0,170677,False,0.501,0.907,2,-3.426,1,0.035,0.00124,0.000103,0.123,0.618,92.575,4,https://i.scdn.co/image/ab67616d00001e028682cb1bebc1ac9795abd860
9,4RoV5XhQ9IoxLyQt39oXPv,Scalene,Sissy Spacek,"['noise', 'noisecore', 'power electronics']",Dash,6ucnaW0dN3RJE8XdrnsWsT,0,7017,False,0,1.0,0,5.759,1,0,0.494,0.000147,0,0,0,0,https://i.scdn.co/image/ab67616d00001e02d69af242a65af977648cddfe
