,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,6C1zL1nBK9fVF40mD9fvNd,Fazendinha Sessions #2: Vai Ser Bão Pra lá,Fazendinha Sessions,['agronejo'],Fazendinha Sessions #2: Vai Ser Bão Pra lá,10fWVVVG2zx5VMJPL4N8wC,70,481536,False,0.627,0.695,1,-5.616,0,0.149,0.418,0,0.0819,0.588,88.991,4,https://i.scdn.co/image/ab67616d00001e023b94e0b5d5781e39f172cf4c
1,6COat7YJe8Wt6ExUW3NHVH,Ecstasy,Reflected Illusions,[],Spaced Out,0tQMeEhOqVRQBmOXCVmxyo,0,221433,False,0.73,0.564,0,-15.808,1,0.0554,0.0403,0.919,0.105,0.0792,89.994,4,https://i.scdn.co/image/ab67616d00001e025771fa098330c0a374494d80
2,50ZLH2OMFe6wgP9n5ezzZR,Nutshell,The Timmys,[],Sangamon County Minefield,5umspu5xHxBz6ZxvlidZjQ,1,145000,True,0.379,0.914,7,-7.327,0,0.119,0.000647,0.0185,0.14,0.621,169.179,4,https://i.scdn.co/image/ab67616d00001e0272bce639983f399ad195dc12
3,0MKd4uZd8Ag8qyReZBTarP,Pino da Granada (Ao Vivo em Rio Preto),Murilo Huff,"['arrocha', 'sertanejo universitario']",Pino da Granada (Ao Vivo em Rio Preto),3hq7WoPJsrRP0KMSLhUgRz,69,185407,False,0.321,0.751,1,-5.062,1,0.0676,0.408,0,0.967,0.429,77.373,3,https://i.scdn.co/image/ab67616d00001e02bc79d3bd7ea9b06d93250356
4,1JMUDVoFdmYL2tJWuUjXSi,Remembrance,Martin O'Donnell,"['scorecore', 'video game music']","Halo 2, Vol. 1 (Original Soundtrack)",5oERdzrfb6kmNMzPNINZib,20,77000,False,0.142,0.148,9,-19.444,0,0.0453,0.993,0.974,0.117,0.0363,179.262,4,https://i.scdn.co/image/ab67616d00001e026079234fa9b599707dc679b5
5,40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo,Mari Fernandez,"['agronejo', 'arrocha', 'arrochadeira']",Ao Vivo em Fortaleza,0BHm7qbh3ENxvXzkQAG7MP,65,202243,False,0.469,0.912,8,-2.256,1,0.0491,0.357,0,0.486,0.579,75.984,4,https://i.scdn.co/image/ab67616d00001e0273a5dbacdd8de421f5d7215e
6,1rGAbEv9GkxWAPk53oWkpU,All Time Low,Reina del Cid,['minneapolis indie'],Morse Code,1yJfLNqiKRBSdaQZco6EDR,16,211880,False,0.599,0.28,5,-10.408,1,0.0256,0.745,2.15e-06,0.0978,0.413,145.917,4,https://i.scdn.co/image/ab67616d00001e025748fa66783900d2d45a48ce
7,42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,Matheus & Kauan,"['agronejo', 'arrocha', 'pop nacional', 'sertanejo', 'sertanejo universitario']",Se Melhorar Estraga (Ao Vivo),2Z0lRIqr997lIUiPtrpKCr,77,155284,False,0.48,0.93,2,-4.441,1,0.143,0.0302,0,0.689,0.641,160.063,4,https://i.scdn.co/image/ab67616d00001e02a145f0bbbb0ee0e29dfb4b4a
8,6BhxypxRq1o99KO78JxXeP,Hunger Strike,Piano Tribute Players,['piano cover'],Piano Tribute to Eddie Vedder & Pearl Jam,4Xx6QMLTWppMwdABkN0Afj,3,213053,False,0.504,0.201,0,-20.965,1,0.0458,0.979,0.94,0.0882,0.321,137.994,4,https://i.scdn.co/image/ab67616d00001e0233ebc741c6219b3af002644a
9,4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,Gustavo Mioto,"['arrocha', 'sertanejo', 'sertanejo universitario']",Eu Gosto Assim (Ao Vivo),1X6ORK7IekgmyjV6IFPszP,86,148800,False,0.636,0.909,0,-3.685,1,0.0439,0.149,0,0.719,0.61,154.189,4,https://i.scdn.co/image/ab67616d00001e0219bb2fb697a42c1084d71f6c
10,6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,Hugo & Guilherme,"['agronejo', 'arrocha', 'sertanejo universitario']",Próximo Passo (Ao Vivo),1LIuN7ov1IBQDdLsU83ojl,73,177934,False,0.732,0.831,0,-3.791,0,0.0691,0.554,0,0.903,0.684,123.942,4,https://i.scdn.co/image/ab67616d00001e02589da421f5679c437c3f6b63
11,0O7lENhqOySbsL743G7PqD,"Vermilion, Pt. 2",Slipknot,"['alternative metal', 'nu metal', 'rap metal', 'rock']",Vol. 3: The Subliminal Verses,05fG473iIaoy82BF1aGhL8,70,224320,False,0.589,0.442,4,-8.517,1,0.0291,0.334,0.000424,0.0987,0.0904,122.688,3,https://i.scdn.co/image/ab67616d00001e026b3463e7160d333ada4b175a
12,0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,Naiara Azevedo,"['funk carioca', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",Palhaça (Ao Vivo),0jD7VeE1m2SdHbOWeCtB9l,84,170191,False,0.893,0.829,0,-5.098,0,0.151,0.518,8.69e-06,0.0979,0.498,146.062,4,https://i.scdn.co/image/ab67616d00001e0276eb2bb3c18c61e17fc8743e
13,1VcGx47V3mlyZeM7ylY0fh,Insana,Loubet,"['agronejo', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",Acústico Simplesmente Sertanejo,6DtpcJP3QBgHfte3eKzUCI,52,188560,False,0.759,0.593,6,-6.951,0,0.0312,0.652,0,0.463,0.765,109.941,4,https://i.scdn.co/image/ab67616d00001e0286fa88215e47db0fdfca22ff
14,4pt5fDVTg5GhEvEtlz9dKk,I WANNA BE YOUR SLAVE,Måneskin,"['indie rock italiano', 'italian pop', 'pop']",Teatro d'ira - Vol. I,0lAWpj5szCSwM4rUMHYmrr,85,173346,True,0.75,0.608,1,-4.008,1,0.0387,0.00165,0,0.178,0.958,132.507,4,https://i.scdn.co/image/ab67616d00001e025aa05015cfa7bd2943c29b21
15,5TGkZGCUoV1zvFxQOIQM5O,Reverse,HITMAKER,['agronejo'],Reverse,0Otd1ReHJtVAzwAuRj09Zg,74,120405,False,0.76,0.768,11,-3.915,0,0.102,0.233,0,0.0893,0.907,147.835,4,https://i.scdn.co/image/ab67616d00001e026659a738af4427cd36857bec
16,5yHC5TI4GAuKaeNYgCpLju,Pieces (Spontaneous),Bethel Music,"['ambient worship', 'ccm', 'deep ccm', 'world worship', 'worship']",Moments: Mighty Sound,26T4yOaOoFJvUvxR87Y9HO,46,644949,False,0.25,0.149,10,-10.948,1,0.0352,0.729,1.04e-06,0.145,0.0716,108.737,3,https://i.scdn.co/image/ab67616d00001e021c309ec741921b2995182521
17,5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,Guilherme & Benuto,"['agronejo', 'arrocha', 'sertanejo universitario']",Deu Rolo In Goiânia (Ao Vivo),6m6e7D2TnV0aYMllFFwMxu,69,180504,False,0.446,0.941,4,-4.134,0,0.378,0.411,0,0.892,0.604,75.104,4,https://i.scdn.co/image/ab67616d00001e021bf4c3ff3bfdd29476a41240
18,67LSWcfTSHVHUgY2HmpcIZ,Capricorn,Braid,"['emo', 'emo punk', 'midwest emo']",Lucky To Be Alive,36gdsrHzKZ0Wyb3uH7ZbEv,2,248640,False,0.321,0.94,2,-6.151,1,0.163,0.0451,4.91e-05,0.947,0.276,103.365,4,https://i.scdn.co/image/ab67616d00001e021110aae79eb57ead1808490f
19,5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,Maiara & Maraisa,"['sertanejo', 'sertanejo universitario']",Identidade (Ao Vivo),59jlthNnbmim5l9tmNA7se,72,165000,False,0.596,0.85,11,-4.528,1,0.0523,0.608,0,0.41,0.531,138.057,4,https://i.scdn.co/image/ab67616d00001e02e73ba02d00407dab676326a3
