,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,['pop'],Lover,06HL4z0CvFAxyc27GXpf02,95,178426,False,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,4,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647
1,3qonjOrhFCfTnaaMruHzxW,Dangerously,Charlie Puth,"['pop', 'viral pop']",Nine Track Mind,6VuMaDnrHyPL1p4EHjYLi7,79,199133,False,0.696,0.517,2,-8.379,0,0.0366,0.364,0,0.197,0.23,112.291,3,https://i.scdn.co/image/ab67616d00001e02633a2d775747bccfbcb17a45
2,4lIxdJw6W3Fg4vUIYCB0S5,Style,Taylor Swift,['pop'],1989,06HL4z0CvFAxyc27GXpf02,82,231000,False,0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,4,https://i.scdn.co/image/ab67616d00001e029abdf14e6058bd3903686148
3,46r9znpbcztTA9NujwbA9d,Out of the Woods,Justin Rutledge,"['canadian americana', 'canadian folk', 'canadian singer-songwriter']",Valleyheart,2bCchS6Y3bKQjIK3MNFrx7,0,247520,False,0.663,0.516,9,-8.634,1,0.038,0.166,0.066,0.114,0.145,122.382,4,https://i.scdn.co/image/ab67616d00001e02436582122c0306677f7e6810
4,1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift,['pop'],Lover,06HL4z0CvFAxyc27GXpf02,90,221306,False,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647
5,5ulFSVUSyWRiPdMnCKyV1s,Shake It Off,Robert Bradley,[],Robert Bradley's Blackwater Surprise,2TkOvnsrjs4yvxqxZlo1h0,9,183000,False,0.521,0.875,11,-8.011,0,0.198,0.125,7.16e-05,0.131,0.697,189.884,4,https://i.scdn.co/image/ab67616d00001e02354ce0a52f863b98a0fb31cd
6,1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,Taylor Swift,['pop'],reputation,06HL4z0CvFAxyc27GXpf02,91,236413,False,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,4,https://i.scdn.co/image/ab67616d00001e02da5d5aeeabacacc1263c0f4b
7,5sVYErNztLXzaFAWtmZ4cc,End Game,The Gaskets,['rva indie'],Loose Change,3m2Gqz7iNofMtLfuHf8Ief,0,274546,False,0.818,0.852,7,-6.28,1,0.039,0.0156,4.32e-06,0.0908,0.962,112.007,4,https://i.scdn.co/image/ab67616d00001e02d4deb49ca3d8d9f1b3f992e7
8,64NT1ubbFFO119pS30Sg4y,The Archer,In Cadeo,[],In Cadeo Ep,3I6Bo3nfVaAVjo7mh50QEu,0,236840,False,0.588,0.763,9,-6.518,1,0.0255,0.042,0.57,0.0701,0.431,94.001,4,https://i.scdn.co/image/ab67616d00001e02e1bdb1b332398796d97007ba
9,0dM1zD4PnqM26bXSTuxTZU,Wildest Dreams,Sean Patrick McGraw,[],All Things Texan,6U7XccSR36BdD504CZUKJe,0,153266,False,0.685,0.73,4,-8.941,1,0.0374,0.0668,0,0.341,0.882,134.991,4,https://i.scdn.co/image/ab67616d00001e0256133637019d8992fbe2907e
10,6stDX47p3UY02kvmLXWV5g,I Wish You Would,Mikey Junior,['harmonica blues'],It Ain't Hard To Tell,1Znqc29CkIudezbCrSWZPj,0,273360,False,0.3,0.825,7,-4.009,1,0.153,0.0575,0.192,0.414,0.612,198.059,4,https://i.scdn.co/image/ab67616d00001e02229bdc67d79e0ca9cbf68a88
11,62F6nWUGlhyLQZz2DTOlAx,All You Had To Do Was Stay,Maddie Wilson,"['channel pop', 'lds youth']",All You Had To Do Was Stay,10PPtrO31Yu7b1gVJ5RM4W,0,196560,False,0.416,0.273,5,-10.105,1,0.036,0.927,0,0.103,0.299,179.899,4,https://i.scdn.co/image/ab67616d00001e02f91b2e180707117be6120b1c
12,1p80LdxRV74UKvL8gnD7ky,Blank Space,Taylor Swift,['pop'],1989,06HL4z0CvFAxyc27GXpf02,83,231826,False,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006,4,https://i.scdn.co/image/ab67616d00001e029abdf14e6058bd3903686148
13,5aWhs651KYM26HYM16kRdk,The Man,The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",Wonderful Wonderful,0C0XlULifJtAgn6ZNCW2eu,66,250093,False,0.606,0.942,6,-2.598,0,0.115,0.0737,2.23e-06,0.0709,0.519,106.02,4,https://i.scdn.co/image/ab67616d00001e02f65523eab3152dcca83b6fca
14,6ECp64rv50XVz93WvxXMGF,This Love,Maroon 5,['pop'],Songs About Jane: 10th Anniversary Edition,04gDigrS5kc9YWfZHwBETP,82,206200,False,0.712,0.862,5,-4.612,0,0.0378,0.0525,0,0.093,0.809,95.051,4,https://i.scdn.co/image/ab67616d00001e0292f2d790c6a97b195f66d51e
15,1nLn0okqQ9ta2pgttzEMq3,Look What You Made Me Do,Madilyn Bailey,"['channel pop', 'viral pop']",Look What You Made Me Do,0NxhAEPOSeCg6vypFr7yjU,20,185988,False,0.843,0.468,7,-11.056,1,0.212,0.302,1.59e-06,0.131,0.333,128.041,4,https://i.scdn.co/image/ab67616d00001e02e22daa8e12652d23914b88d6
16,5NDcrhmATDUQ6L3YWfKR0y,Bad Blood,Bright Eyes,"['chamber pop', 'indie rock', 'melancholia', 'omaha indie', 'stomp and holler']",Noise Floor (Rarities: 1998-2005),5o206eFLx38glA2bb4zqIU,0,280000,False,0.614,0.51,2,-9.45,1,0.0285,0.171,7.8e-05,0.123,0.287,95.02,4,https://i.scdn.co/image/ab67616d00001e02303cc737fc55582433104772
17,4xFbopI5p3SLAT8bnvRdPo,Gorgeous,Gene Loves Jezebel,"['gothic rock', 'new romantic', 'new wave', 'synthpop', 'welsh rock']",The Best Of Gene Loves Jezebel - Voodoo Dollies,4Egyhh5C7MvfJaWXFx1qc4,10,225533,False,0.549,0.878,9,-7.017,0,0.0473,0.0174,0,0.0806,0.395,125.92,4,https://i.scdn.co/image/ab67616d00001e02d5509d23aeba005506f98388
18,1DmSaQjZkuwFi57KPv20oB,Rajadão,Pabllo Vittar,"['dance pop', 'funk carioca', 'funk pop', 'pop lgbtq+ brasileira', 'pop nacional']",111,6tzRZ39aZlNqlUzQlkuhDV,50,157508,False,0.579,0.884,0,-5.319,1,0.17,0.0101,1.91e-05,0.0525,0.173,151.198,4,https://i.scdn.co/image/ab67616d00001e022eaeadc847498c4b99b361b9
19,4K78wt1p2bPauIouOPaman,Clean,Dietiphobia,[],Clean,4Yc66NqFZWOxM3JgNJ1DPR,0,196000,False,0.468,0.933,6,-8.205,1,0.0603,0.0105,6.67e-05,0.251,0.672,88.992,4,https://i.scdn.co/image/ab67616d00001e02b8237a8b64ab19ca385c8e4c
