,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,0aaXlBnXiyn4Wrvgp9Hlya,It's All Coming Back to Me Now,Keith Whitley,"['country', 'country road']",Don't Close Your Eyes,0bc7dhY6YXL35m1G0jVwuW,36,169800,False,0.625,0.237,5,-16.636,1,0.026,0.524,0.00124,0.0951,0.281,85.868,3,https://i.scdn.co/image/ab67616d00001e0297a9f130f1d93af44376aeee
1,1241jF37pBXCvBSkmKT6mC,Welcome To New York,Tim Mahoney,[],Full Circle,2RZJ1gR8pvXmw8p4q979oj,0,216893,False,0.627,0.676,2,-6.511,0,0.0285,0.174,0,0.817,0.595,112.47,4,https://i.scdn.co/image/ab67616d00001e024cb7686fd395ff64210c0c5b
2,1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,Taylor Swift,['pop'],reputation,06HL4z0CvFAxyc27GXpf02,91,236413,False,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,4,https://i.scdn.co/image/ab67616d00001e02da5d5aeeabacacc1263c0f4b
3,3NxWJWftvkstyxvb1pZlFo,Teeth,5 Seconds of Summer,"['boy band', 'pop']",CALM,5Rl15oVamLq7FbSb0NNBNy,75,205502,False,0.745,0.454,3,-2.986,0,0.0392,0.0437,3.47e-06,0.0741,0.43,139.007,4,https://i.scdn.co/image/ab67616d00001e02726005f0f81903e157d9dbc7
4,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,['pop'],Midnights,06HL4z0CvFAxyc27GXpf02,95,200690,False,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,4,https://i.scdn.co/image/ab67616d00001e02bb54dde68cd23e2a268ae0f5
5,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,['pop'],Lover,06HL4z0CvFAxyc27GXpf02,95,178426,False,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,4,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647
6,4lIxdJw6W3Fg4vUIYCB0S5,Style,Taylor Swift,['pop'],1989,06HL4z0CvFAxyc27GXpf02,82,231000,False,0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,4,https://i.scdn.co/image/ab67616d00001e029abdf14e6058bd3903686148
7,5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,Taylor Swift,['pop'],Midnights,06HL4z0CvFAxyc27GXpf02,88,202395,True,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,4,https://i.scdn.co/image/ab67616d00001e02bb54dde68cd23e2a268ae0f5
8,6Btm58w6piKC2XRDV94OYH,Waves,Wechsel Garland,"['german electronica', 'indie electronica']",Easy,5iTn5dJcAOVdyIzK1AN0pW,1,102880,False,0.333,0.599,6,-11.217,0,0.0347,0.202,0.899,0.291,0.737,85.501,3,https://i.scdn.co/image/ab67616d00001e024a6c7375af24fb5310e84482
9,1cmT1qbBuniOugI6i5sipz,Midnight Rain,Poco,"['country rock', 'folk rock', 'heartland rock', 'mellow gold', 'singer-songwriter', 'soft rock']",Bareback at Big Sky,0fyqyjD7pbaVzbu94ylWQR,4,278706,False,0.556,0.683,9,-9.051,1,0.0256,0.0102,3.24e-05,0.841,0.654,95.961,4,https://i.scdn.co/image/ab67616d00001e0267eb829d5104a8eae7208e7a
