,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,49iPCmLYg3SS8r2MXcbR1N,Lonely,RM,['k-rap'],Indigo,2auC28zjQyVTsiZKNgPRGs,73,166020,True,0.786,0.583,11,-7.471,0,0.0371,0.168,0.000118,0.0828,0.674,114.487,4,https://i.scdn.co/image/ab67616d00001e02fa60e8a8d5ca09efc6098175
1,6LUOMjoORvAkdhBYvESO46,Move Your Body - Alan Walker Remix,Sia,"['australian dance', 'australian pop', 'pop']",This Is Acting (Deluxe Version),5WUlDfRSoLAfcVSX1WnrxN,70,217906,False,0.636,0.789,10,-4.905,0,0.0892,0.0834,0.000896,0.391,0.4,128.028,4,https://i.scdn.co/image/ab67616d00001e02754b2fddebe7039fdb912837
2,1QV6tiMFM6fSOKOGLMHYYg,Poker Face,Lady Gaga,"['art pop', 'dance pop', 'pop']",The Fame,1HY2Jd0NmPuamShAr6KMms,83,237200,False,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,4,https://i.scdn.co/image/ab67616d00001e02e691217483df8798445c82e2
3,0wyvmjoWU3tk8uiq6LrWus,Lady Gaga,Tok,[],Tok Does Tonetta,6E9c9kRyfEhNwRMl4R3GLQ,4,185525,True,0.642,0.733,5,-6.387,1,0.0405,0.0705,0.674,0.188,0.667,122.005,4,https://i.scdn.co/image/ab67616d00001e02661f8ad65c0fc935564ab84d
4,3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,"['pop', 'uk pop']",Icarus Falls,5ZsFI1h6hIdQRw2ti0hz81,82,239000,False,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,4,https://i.scdn.co/image/ab67616d00001e022bdcb339402ebd78651f09c8
5,3spdoTYpuCpmq19tuD0bOe,My Way,Frank Sinatra,"['adult standards', 'easy listening', 'lounge']",My Way (Expanded Edition),1Mxqyy3pSjf8kZZL4QVxS0,75,276800,False,0.401,0.381,2,-7.458,1,0.0274,0.7,0,0.122,0.229,75.454,4,https://i.scdn.co/image/ab67616d00001e0280aa6a82fce614eea8357253
6,2bL2gyO6kBdLkNSkxXNh6x,Animals,Maroon 5,['pop'],V,04gDigrS5kc9YWfZHwBETP,83,231013,False,0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,4,https://i.scdn.co/image/ab67616d00001e02442b53773d50e1b5369bb16c
7,6dVxmD1c8EyFwnqhTdHz9s,Equalize,Gomez,['britpop'],Whatever's On Your Mind,4zPGlyitRvJo7iz6OKlETa,8,180866,False,0.461,0.659,1,-8.148,0,0.0449,0.0179,0.000175,0.378,0.306,170.995,4,https://i.scdn.co/image/ab67616d00001e025dd6f781dfa650858994c283
8,5auz2pawjD7YEvAqCyxmgK,On The Floor,Galaxie 500,"['alternative rock', 'dream pop', 'lo-fi', 'melancholia', 'noise pop', 'shoegaze', 'slowcore', 'uk post-punk']",Uncollected,6guTJsgPymDUVfqDJyz5UG,6,171013,False,0.533,0.691,7,-9.06,1,0.035,0.00254,0.712,0.0821,0.19,106.684,4,https://i.scdn.co/image/ab67616d00001e02e5f3f5de60bdcf77c8106930
9,0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),Ed Sheeran & Justin Bieber,[],No.6 Collaborations Project,1WsYCXdezMjn0KoIrLvMmC,74,219946,False,0.798,0.676,6,-5.041,1,0.0442,0.0902,0,0.0894,0.843,101.956,4,https://i.scdn.co/image/ab67616d00001e0273304ce0653c7758dd94b259
