,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,0bH72NbquUwIdKjExSqBEC,Desireless,Michal Towber,[],Coma,1eoI2Uxzm9yaoP9XyZxWKd,0,230093,False,0.571,0.542,5,-8.541,0,0.0243,0.294,1.21e-06,0.2,0.505,85.967,4,https://i.scdn.co/image/ab67616d00001e0293e30f50fb8dd526ed493b53
1,4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,Kadu Martins,[],Halls na Língua,57VQCKnZ9nhS7bvoviXuZK,76,192320,False,0.833,0.676,9,-7.426,0,0.0573,0.0796,0,0.123,0.876,125.065,4,https://i.scdn.co/image/ab67616d00001e02a97fd0547fb0255ebce3fa95
2,7irwJwyTezUZg0P3CB1D0V,Refém - Ao Vivo,Gusttavo Lima,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",Gusttavo Lima e Você (Ao Vivo),7MiDcPa6UiV3In7lIM71IN,35,249506,False,0.443,0.905,4,-4.001,1,0.0599,0.191,3.69e-06,0.442,0.485,80.827,4,https://i.scdn.co/image/ab67616d00001e025840f88453448723ce907a53
3,5D2mYZuzcgjpchVY1pmTPh,Candy Shop,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",The Massacre,3q7HBObVc0L8jNeTe5Gofh,83,209106,True,0.614,0.574,11,-7.961,1,0.466,0.0253,3.2e-05,0.38,0.755,125.173,5,https://i.scdn.co/image/ab67616d00001e0291f7222996c531b981e7bb3d
4,07fbDnkKdZGk1gLvknxrns,RUNAWAY,OneRepublic,"['piano rock', 'pop']",RUNAWAY,5Pwc4xIPtQLFEnJriah9YJ,81,143264,False,0.624,0.684,3,-5.507,0,0.0513,0.0336,0,0.0771,0.75,163.033,4,https://i.scdn.co/image/ab67616d00001e02587d488364806d8961317390
5,3gVWiEvbZF720UTIhGmigQ,Cor de Ouro - Ao Vivo,Gusttavo Lima,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",Gusttavo Lima e Você (Ao Vivo),7MiDcPa6UiV3In7lIM71IN,41,206373,False,0.586,0.941,11,-3.056,1,0.0453,0.106,0,0.907,0.515,140.029,4,https://i.scdn.co/image/ab67616d00001e025840f88453448723ce907a53
6,2rzkq77cfnspiLUPYRiePy,I Wanna Love You,Zapp,"['funk', 'new jack swing', 'p funk', 'popping', 'post-disco', 'quiet storm', 'soul', 'synth funk']",Zapp VI Back By Popular Demand,396Kh0m4wGUvcMUULw71yi,11,269160,False,0.683,0.457,10,-6.242,0,0.0309,0.0495,7.22e-06,0.125,0.418,93.318,4,https://i.scdn.co/image/ab67616d00001e02e445a4903a8d94272fa90087
7,2WQqwW1Ip0MjtOpZHSzfj5,Titanic,Abel,[],Lesser Men,5S4UFKfmPHK4xFJqRzITwo,1,266000,False,0.479,0.677,7,-7.397,1,0.031,0.0113,0.000414,0.297,0.0766,158.012,4,https://i.scdn.co/image/ab67616d00001e02a1428cea4eb9d76a8d28263b
8,4MoyTrUaX3PzVHn9TKRcpz,Tarzan Boy,Kidz Jamz,[],Jungle Jamz,24PcHJ7tKHxLwRxRzCban5,4,344520,False,0.701,0.679,2,-11.266,1,0.0344,0.245,0.366,0.0666,0.852,111.898,4,https://i.scdn.co/image/ab67616d00001e022f028343cf35818e12c1b0b0
9,40gCZlpirbwkniuD5I9lDk,60 Segundos - Ao Vivo,Gusttavo Lima,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",Gusttavo Lima e Você (Ao Vivo),7MiDcPa6UiV3In7lIM71IN,55,191266,False,0.659,0.741,4,-3.812,1,0.0258,0.643,0,0.687,0.35,107.026,4,https://i.scdn.co/image/ab67616d00001e025840f88453448723ce907a53
