,track_id,track_name,artist_name,artist_genres
0,6MlIIJwO4FxnOlrpOrS4hU,METAMORPHOSIS - Sped Up,INTERWORLD,"['phonk brasileiro', 'sped up']"
1,0fBSs3fRoh1yJcne77fdu9,Video Games,Lana Del Rey,"['art pop', 'pop']"
2,3nfj9Fdbl30TvcZE9sU0Vx,Suffer With Me,líue,['weirdcore']
3,7hDVYcQq6MxkdJGweuCtl9,ocean eyes,Billie Eilish,"['art pop', 'electropop', 'pop']"
4,1Fcp74jdEpOohdgPCCGI8f,Halfway There,Big Time Rush,"['boy band', 'pop', 'post-teen pop']"
5,0yzcqtdu85erFxmgeZp0zW,"Negro Y Azul: The Ballad of Heisenberg (From ""Breaking Bad"" TV Series)",Los Cuates de Sinaloa,"['corrido', 'musica mexicana', 'norteno', 'sierreno']"
6,7jW2dcStZndF9lWRrPUvzV,Shine,Spektrem,['gaming edm']
7,6KOQLj5dcYuFSN6srNs96u,Paralyzed,Big Time Rush,"['boy band', 'pop', 'post-teen pop']"
8,7yq4Qj7cqayVTp3FF9CWbm,Riptide,Vance Joy,"['folk-pop', 'modern rock']"
9,6EtKlIQmGPB9SX8UjDJG5s,Formula,Labrinth,"['indie poptimism', 'pop']"
10,4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,"['piano rock', 'pop']"
11,4e5rVnBWDSwYLSXkMO6ljE,Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack,Lorde,"['art pop', 'metropopolis', 'nz pop', 'pop']"
12,4pH8cIlMI9NrTWcDiQbuRe,Miss You - Sped Up Version,Oliver Tree,['alternative hip hop']
13,5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
14,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,FIFTY FIFTY,['k-pop girl group']
15,0wbDgMuAoy7O7pL3a69uZx,Give It To Me,Timbaland,"['dance pop', 'pop', 'pop rap']"
16,1AQH4K1OX1KHbTt5ojMonp,Codeine,Mandragora,"['brazilian edm', 'mexican edm', 'trance mexicano']"
17,1XWaewKXJh2BemQTerZdYI,Padmé's Ruminations,John Williams,"['orchestral soundtrack', 'soundtrack']"
18,1pjvlYOMIg1NhGQbM6iwrY,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']"
19,349flwjNbqIaE0Mph3jLGD,A mais pedida (Participação especial de Érika Martins),Raimundos,"['brazilian punk', 'brazilian punk rock', 'brazilian reggae', 'brazilian rock', 'hard rock brasileiro', 'rock brasiliense', 'rock nacional brasileiro']"
