,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,Luan Santana,"['arrocha', 'sertanejo', 'sertanejo universitario']",LUAN CITY 2.0 - FASE 1,3qvcCP2J0fWi0m0uQDUf6r,78,175468,False,0.483,0.954,9,-4.786,1,0.18,0.13,0,0.392,0.361,164.109,4,https://i.scdn.co/image/ab67616d00001e028f92a695c9b968029c69a672
1,4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,AgroPlay,['agronejo'],Nosso Quadro,0uGWkZRPp1Urk77XBrPBsZ,84,173698,False,0.691,0.708,9,-4.821,1,0.195,0.338,0,0.311,0.602,160.018,4,https://i.scdn.co/image/ab67616d00001e02675bc951c970cd754cd09c7e
2,7CJJ7JC3kj9XdweWTvfVhX,Vacilão,Zé Felipe,"['agronejo', 'arrocha', 'arrochadeira', 'sertanejo universitario']",Vacilão,7cmuxPnXRJxwuYDHfbD8Eu,83,130403,True,0.879,0.886,7,-3.287,1,0.0508,0.237,0,0.0615,0.966,125.973,4,https://i.scdn.co/image/ab67616d00001e02a44ba607aca0f556ffc89b30
3,17vkpwdNFLE5T1Y4PE3stJ,Boiadeira,Ana Castela,"['agronejo', 'funk rj', 'sertanejo pop']",Boiadeira,2CKOmarVWvWqkNWUatHCex,73,169404,False,0.552,0.847,8,-3.884,1,0.0799,0.383,0,0.607,0.74,165.742,4,https://i.scdn.co/image/ab67616d00001e028bee9cf4cde7c92e194b0353
4,6Diq6oBnDVzsrNcRllXRbM,Maldita de Ex,Mc Leozin,"['funk bh', 'funk mtg']",Maldita de Ex,6mKwmTMzDrye9elc8JWiw3,65,164257,True,0.811,0.583,6,-0.969,0,0.0306,0.194,0.000256,0.0685,0.673,133.054,4,https://i.scdn.co/image/ab67616d00001e02b0f3b878a0eb245206b21dc9
5,4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,Zé Felipe,"['agronejo', 'arrocha', 'arrochadeira', 'sertanejo universitario']",Facilita Aí,7cmuxPnXRJxwuYDHfbD8Eu,76,143830,False,0.781,0.845,11,-2.948,0,0.0422,0.32,5.77e-05,0.0391,0.968,130.02,4,https://i.scdn.co/image/ab67616d00001e028fa99a9f489e7aab0c8d20e3
6,0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,Israel & Rodolffo,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']","Let's Bora, Vol. 2 (Ao Vivo)",41QLxRXlc2NwfJZkHGHKid,80,154701,False,0.654,0.948,1,-3.672,1,0.0548,0.3,0,0.92,0.706,158.054,4,https://i.scdn.co/image/ab67616d00001e026ccbcc3358d31dcba6e7c035
7,45eY7Qi2PDUs8WJEhjGWdN,Ramenez la coupe à la maison,Vegedream,"['french hip hop', 'pop urbaine', 'r&b francais']",Ramenez la coupe à la maison,4eYnorQRhVHT2KBl2UyHHd,74,235555,False,0.808,0.661,0,-6.237,0,0.0395,0.0358,0,0.138,0.804,107.992,4,https://i.scdn.co/image/ab67616d00001e02fd2cf122277369b80c9d3ceb
8,4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,DJ Jeeh FDC,['funk mtg'],Som das Regiões,5lal0BjsooQ7ON4t7B73bp,81,162461,True,0.853,0.913,9,0.963,1,0.0514,0.655,0.0235,0.0311,0.952,130.005,4,https://i.scdn.co/image/ab67616d00001e022479aa0668d6cc22b664a9e5
9,4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,Gustavo Mioto,"['arrocha', 'sertanejo', 'sertanejo universitario']",Eu Gosto Assim (Ao Vivo),1X6ORK7IekgmyjV6IFPszP,86,148800,False,0.636,0.909,0,-3.685,1,0.0439,0.149,0,0.719,0.61,154.189,4,https://i.scdn.co/image/ab67616d00001e0219bb2fb697a42c1084d71f6c
