,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,6MCjmGYlw6mQVWRFVgBRvB,夜に駆ける,YOASOBI,"['j-pop', 'japanese teen pop']",THE BOOK,64tJ2EAv1R6UaZqc4iOCyj,77,258838,False,0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025,4,https://i.scdn.co/image/ab67616d00001e02684d81c9356531f2a456b1c1
1,1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,"['pop', 'r&b']",RENAISSANCE,6vWDO969PvNqNYHIOW5v0m,90,225388,True,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,4,https://i.scdn.co/image/ab67616d00001e020e58a0f8308c1ad403d105e7
2,6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,['viral pop'],Glimpse of Us,3MZsBdqDrRTJihTHQrO6Dq,86,233456,False,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,3,https://i.scdn.co/image/ab67616d00001e0208596cc28b9f5b00bfe08ae7
3,12R6npsSMx8g0k5GN19poM,Saquarema,MC Rogê,"['batidao romantico', 'funk carioca']",Saquarema,3nD4yj5ojI0Xts9fhWw8ui,66,201600,True,0.896,0.518,9,-8.524,1,0.266,0.285,0.00306,0.0897,0.793,150.066,4,https://i.scdn.co/image/ab67616d00001e02679f675d59d40080bbd3b3a6
4,561jH07mF1jHuk7KlaeF0s,Mockingbird,Eminem,"['detroit hip hop', 'hip hop', 'rap']",Encore (Deluxe Version),7dGJo4pcD2V6oG8kP0tJRR,92,250760,True,0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,4,https://i.scdn.co/image/ab67616d00001e02726d48d93d02e1271774f023
5,1A47ISHc08cBeIA3hifQXn,O que sobrou do céu,O Rappa,"['brazilian hip hop', 'brazilian reggae', 'brazilian rock', 'latin alternative', 'rock nacional brasileiro']",Lado B Lado A,1A5QJAC1vdhbhPE25Q0x0f,63,232666,False,0.374,0.946,1,-5.6,0,0.273,0.0889,0,0.167,0.702,105.731,4,https://i.scdn.co/image/ab67616d00001e027c33a0320b19db0e14ecdc5f
6,5XTShiHeVnUbzSVNRRFvfV,Aquarela Luz,Dada Yute,['brazilian reggae'],Aquarela Luz,4mZqYlVhIZJnJtbF39kDjj,59,240000,False,0.654,0.802,10,-4.168,0,0.0512,0.355,0,0.065,0.739,145.959,4,https://i.scdn.co/image/ab67616d00001e024135fadbefeff1b9a13d6698
7,7nFvKgVumc9FcU97zGjjei,Coração de Gelo,WIU,['trap brasileiro'],Manual de Como Amar Errado,3MrDVzg7ZXaYMyQmbDInr7,85,168000,False,0.732,0.671,10,-4.276,0,0.082,0.124,0,0.128,0.836,159.907,4,https://i.scdn.co/image/ab67616d00001e0289b79f7ca8dd72710692809d
8,1otG6j1WHNvl9WgXLWkHTo,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,['colombian pop'],Isolation,1U1el3k54VvEUzo3ybLPlM,85,207454,False,0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,4,https://i.scdn.co/image/ab67616d00001e0290b4e1905b1fc48c537ec053
9,4Iw6eM5rfxuOoetgqxwjTQ,Daniel's Moment Of Truth,Bill Conti,['theme'],The Karate Kid (Original Motion Picture Score),272ygo5fv9cYsiCLcV0HV2,30,120186,False,0.193,0.389,10,-8.275,1,0.0318,0.622,0.78,0.0961,0.133,142.796,4,https://i.scdn.co/image/ab67616d00001e0266329722041165cd0a907587
10,5eFiEFtrq5dLgVHSZANUNl,Together Forever,Rick Astley,"['new romantic', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']",Whenever You Need Somebody,0gxyHStUsqpMadRV0Di1Qt,70,205533,False,0.702,0.933,2,-11.876,1,0.0492,0.0519,0.000128,0.155,0.896,115.114,4,https://i.scdn.co/image/ab67616d00001e02baf89eb11ec7c657805d2da0
11,4AFsRbaLKRWo3dDtjDFA2V,Me and Your Mama,Childish Gambino,"['atl hip hop', 'hip hop', 'rap']","""Awaken, My Love!""",73sIBHcqh3Z3NyqHKZ7FOL,84,379226,False,0.545,0.442,5,-12.111,1,0.0352,0.0104,0.0271,0.0664,0.242,118.073,3,https://i.scdn.co/image/ab67616d00001e027582716b3666a5235d5af4ea
12,0GYPcKDlsb8WEtJkkKdtgH,Anos Luz,Matuê,"['r&b brasileiro', 'rap cearense', 'trap brasileiro']",Anos Luz,5nP8x4uEFjAAmDzwOEc9b8,74,264035,False,0.634,0.498,6,-10.242,0,0.103,0.375,0,0.115,0.299,109.817,4,https://i.scdn.co/image/ab67616d00001e02cab547ed80855f5336b60d83
13,1f9lD5VdRIGdSihiIwOFSx,Malvadão 2,Xamã,"['brazilian hip hop', 'trap brasileiro']",Malvadão 2,5YwzDz4RJfTiMHS4tdR5Lf,45,149112,False,0.881,0.595,11,-9.781,1,0.0714,0.282,0.000117,0.112,0.911,130.019,4,https://i.scdn.co/image/ab67616d00001e02399d0ed62e9062044fda5e4f
14,1u1Ps262k227FPAm5BVUjd,Kill EVERYBODY,Skrillex,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",Scary Monsters and Nice Sprites (Deluxe Tour Edition),5he5w2lnU9x7JFhnwcekXX,52,297986,False,0.788,0.874,0,-3.336,1,0.0805,0.00219,0.00231,0.0998,0.629,126.988,4,https://i.scdn.co/image/ab67616d00001e020d9a6a2a68b4010c5b21a38c
15,2vH8JFJKfkAgZs1GFlOzGh,Akatsuki no Requiem,Linked Horizon,"['anime', 'otacore']",Rakuen Eno Shingeki,3eNYrVLcWfjJ9JdH9kiPJO,55,240573,False,0.498,0.82,2,-6.288,0,0.0439,0.401,4.54e-06,0.373,0.299,136.901,3,https://i.scdn.co/image/ab67616d00001e0224540ca140aebd530b38aa57
16,4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,Mc Gabzin,['funk mtg'],Simplesmente Ela,5RmXJq0g7MNmgtxXLGbd6K,42,161076,False,0.572,0.616,4,-2.609,0,0.083,0.227,0,0.0728,0.545,83.04,3,https://i.scdn.co/image/ab67616d00001e028f582abe85ed839a84b04212
17,5WNYg3usc6H8N3MBEp4zVk,Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator","['hip hop', 'rap']",Flower Boy,4V8LLVI7PbaPR0K2TGSxFF,73,320720,True,0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938,4,https://i.scdn.co/image/ab67616d00001e028940ac99f49e44f59e6f7fb3
18,2VBLFxCUyFp5BfmsZpxcis,絆ノ奇跡,MAN WITH A MISSION,"['anime rock', 'j-pop', 'j-rock']",絆ノ奇跡,3NTbOmzlj2cL86XFuDVFvZ,81,223320,False,0.436,0.951,7,-4.748,0,0.202,0.0046,0,0.149,0.428,169.955,4,https://i.scdn.co/image/ab67616d00001e02cb6080eae6c43b7ed1bb44b4
19,4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,Teto,"['trap baiano', 'trap brasileiro']",Flow Espacial,68YeXpLt3jB7JHQS5ZjMGo,79,165925,True,0.712,0.685,1,-6.099,1,0.182,0.0186,0,0.0911,0.454,162.032,4,https://i.scdn.co/image/ab67616d00001e02fbe85e19226e3c40fe390dae
