,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,0Cb4Bia9LjvjmfOHUVRcj6,,,[],Who Is She x The Perfect Girl (Remix),0LyfQWJT6nXafLPZqxe9Of,0,0,False,0.471,0.866,8,-5.404,0,0.0763,0.00246,0.529,0.352,0.201,122.422,4,https://i.scdn.co/image/ab67616d00001e02da2809f7d282e82af71aae55
1,3T56drS7FjnZgGcOAHlXzx,Murder In My Mind - Sped Up,Kordhell,['drift phonk'],Murder In My Mind (Sped Up),2W6WP4pHQTFlbr2z9S4n54,72,115200,True,0.598,0.994,2,-0.89,1,0.404,0.00364,0.0617,0.397,0.151,151.135,4,https://i.scdn.co/image/ab67616d00001e02f2e3e3735158efa0e2f7b35e
2,3NqzrVHb9aQKgSGy0j2RW5,Out of Time,aifert,[],Out of Time,4iGu4fcWtNMfknQVbBUcY0,5,123826,True,0.595,0.778,4,-8.207,0,0.0355,0.00765,0.108,0.23,0.506,76.268,4,https://i.scdn.co/image/ab67616d00001e02cc14230f28dcf7f70e0180b9
3,0djSITTfslpfgWydK0Aurj,,,[],W Rizz,0LyfQWJT6nXafLPZqxe9Of,0,0,True,0.96,0.489,10,-15.189,0,0.325,0.13,2.22e-06,0.105,0.545,131.905,4,https://i.scdn.co/image/ab67616d00001e023644408c5c94248c517492d2
4,5PSRPfE3EwRxh14holvptk,Resurrection,Mr.Kitty,['weirdcore'],D E A T H,0pWwt5vGNzezEhfAcc420Y,47,347081,False,0.593,0.85,0,-7.218,0,0.0376,0.000279,0.00194,0.0735,0.224,130.038,4,https://i.scdn.co/image/ab67616d00001e027e51721b0e8157ad1a4ff173
5,6hRvewF5MRAsqqxnNs3z2b,SUICIDE YEAR,WEEDMANE,['drift phonk'],SUICIDE YEAR,6agBXAcUugzO8DQTChZZrx,78,91820,True,0.788,0.871,6,-5.782,0,0.043,0.172,0.00164,0.115,0.401,128.195,4,https://i.scdn.co/image/ab67616d00001e024b3656b847d344d9ad53be34
6,0Dl965SLJGi9bB0SrvtPRx,girlfriend,hemlocke springs,[],girlfriend,52PdgUJOjvS6Mpmjy1SAlx,60,133150,False,0.763,0.759,11,-3.925,0,0.0906,0.218,4.24e-05,0.0724,0.964,146.006,4,https://i.scdn.co/image/ab67616d00001e02a9d3614d51dbd54980502f15
7,6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,MC K.K,['funk mandelao'],Agudo Mágico 3,6TtI28JVtV3RufOCwLvHod,74,174008,True,0.649,0.797,6,-2.405,0,0.0504,0.221,0.0352,0.0728,0.49,129.966,4,https://i.scdn.co/image/ab67616d00001e0276323d3f59ac7fc741e9d2ee
8,1brR9vWBEz1SpwgzPjhOxd,Ankha (Camel By Camel) - Special Version,A k i n a,['sped up'],Ankha (Camel By Camel) [Special Version],498gBTpISGXB0OcZEPSjGS,54,252082,False,0.637,0.871,10,-10.59,0,0.0382,0.1,0.969,0.149,0.926,104.523,4,https://i.scdn.co/image/ab67616d00001e02ea70035389441c7e3edfb31b
9,3r44Otr6SVUja3SYsCuhVY,Shootout (Sped Up),Izzamuzzic,"['kazakh pop', 'russian electronic', 'sped up']",Shootout (Sped Up),5EiDVD35ofoSKq1KE0jcs8,76,242142,False,0.684,0.605,10,-8.678,0,0.0634,0.216,0.941,0.103,0.768,104.647,4,https://i.scdn.co/image/ab67616d00001e0213e512c6ff4a6b7eb8231a7f
10,5RBOcBpJXaNnHCGViJmYhh,The Perfect Girl,Mareux,['dark synthpop'],The Perfect Girl,7riQPkkGZBnTh9ve5qIhYo,83,194423,False,0.485,0.89,8,-5.992,0,0.0911,0.000872,0.818,0.102,0.258,128.881,4,https://i.scdn.co/image/ab67616d00001e023d54a30e59638f60f56dd4e6
11,6MlIIJwO4FxnOlrpOrS4hU,METAMORPHOSIS - Sped Up,INTERWORLD,"['phonk brasileiro', 'sped up']",METAMORPHOSIS (Sped Up),5hKGLu4Ik88FzWcTPhWNTN,81,110936,True,0.679,0.69,11,-10.582,0,0.0732,0.472,0.904,0.181,0.136,112.478,4,https://i.scdn.co/image/ab67616d00001e02b9f5964653f8f3ad1198940e
12,561jH07mF1jHuk7KlaeF0s,Mockingbird,Eminem,"['detroit hip hop', 'hip hop', 'rap']",Encore (Deluxe Version),7dGJo4pcD2V6oG8kP0tJRR,92,250760,True,0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,4,https://i.scdn.co/image/ab67616d00001e02726d48d93d02e1271774f023
13,1foMv2HQwfQ2vntFf9HFeG,Rhinestone Eyes,Gorillaz,"['alternative hip hop', 'modern rock', 'rock']",Plastic Beach,3AA28KZvwAUcZuOKwyblJQ,80,200173,False,0.676,0.703,8,-5.815,0,0.0302,0.0869,0.000687,0.0463,0.852,92.761,4,https://i.scdn.co/image/ab67616d00001e02661d019f34569f79eae9e985
14,7CXRTO2zhHoY5xMufaaPec,miss the rage,Jeethz,[],miss the rage,2mWDH8KGTF3c7RTvSyZ9BG,9,175384,False,0.509,0.752,8,-6.58,1,0.0291,2.95e-05,5.03e-06,0.27,0.323,78.027,4,https://i.scdn.co/image/ab67616d00001e02a07d116c304b29255452464a
15,3i1S9pOw83D3Vvm0r6mg8g,Montagem Assombra E-Girl,Mc Lucy,['funk 150 bpm'],Montagem Assombra E-Girl,44bzWn6GQs6zVXvnYtqIMa,51,128574,True,0.479,0.635,9,-10.207,0,0.1,0.322,0.00277,0.331,0.478,130.02,4,https://i.scdn.co/image/ab67616d00001e023ec08ff64c3d2f30b6b02ae7
16,5sEsMMRBEJ64lMhQF6fpbv,,,[],Superman (Sped Up) (Remix),0LyfQWJT6nXafLPZqxe9Of,0,0,False,0.712,0.67,11,-4.79,0,0.112,0.0465,0,0.239,0.571,149.14,4,https://i.scdn.co/image/ab67616d00001e0254a8c217656dedcdb3238a27
17,26ZzSLUJMmYp5u1hDELEWH,Transgender,Crystal Castles,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']",(III),7K3zpFXBvPcvzhj7zlGJdO,69,184760,False,0.522,0.914,7,-8.285,1,0.0379,0.000164,0.847,0.24,0.0364,137.939,3,https://i.scdn.co/image/ab67616d00001e0239140b04426a6ae1c7842e38
18,5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),Usher,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",Confessions (Expanded Edition),23zg3TcAtWQy7J6upgbUnj,85,250373,False,0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,4,https://i.scdn.co/image/ab67616d00001e02365b3fb800c19f7ff72602da
19,69Z9CGFvblV0qTb6wMoCpP,Song for Denise,Piano Fantasia,[],Best of Collector: Piano Fantasia (Le meilleur des années 80),3fwPbUnAOAhzd60TyDfE8t,56,192468,False,0.797,0.65,0,-6.983,0,0.0345,0.00369,0.892,0.2,0.954,102.414,4,https://i.scdn.co/image/ab67616d00001e0219609bb5f5c4dcaaf7c83bbd
