,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,6C1zL1nBK9fVF40mD9fvNd,Fazendinha Sessions #2: Vai Ser Bão Pra lá,Fazendinha Sessions,['agronejo'],Fazendinha Sessions #2: Vai Ser Bão Pra lá,10fWVVVG2zx5VMJPL4N8wC,69,481536,False,0.627,0.695,1,-5.616,0,0.149,0.418,0,0.0819,0.588,88.991,4,https://i.scdn.co/image/ab67616d00001e023b94e0b5d5781e39f172cf4c
1,2kBxNuYFT0J8w9CD4ugLpJ,Trocaria Tudo - Ao Vivo,Marcos & Fernando,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",Ao Vivo,0cHeelq87RR6yX2ttH6MTg,54,192133,False,0.562,0.805,6,-3.574,0,0.036,0.487,0,0.254,0.664,143.919,4,https://i.scdn.co/image/ab67616d00001e02f9d12382334c33f7454d9870
2,0MKd4uZd8Ag8qyReZBTarP,Pino da Granada (Ao Vivo em Rio Preto),Murilo Huff,"['arrocha', 'sertanejo universitario']",Pino da Granada (Ao Vivo em Rio Preto),3hq7WoPJsrRP0KMSLhUgRz,69,185407,False,0.321,0.751,1,-5.062,1,0.0676,0.408,0,0.967,0.429,77.373,3,https://i.scdn.co/image/ab67616d00001e02bc79d3bd7ea9b06d93250356
3,40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo,Mari Fernandez,"['agronejo', 'arrocha', 'arrochadeira']",Ao Vivo em Fortaleza,0BHm7qbh3ENxvXzkQAG7MP,65,202243,False,0.469,0.912,8,-2.256,1,0.0491,0.357,0,0.486,0.579,75.984,4,https://i.scdn.co/image/ab67616d00001e0273a5dbacdd8de421f5d7215e
4,4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,Gustavo Mioto,"['arrocha', 'sertanejo', 'sertanejo universitario']",Eu Gosto Assim (Ao Vivo),1X6ORK7IekgmyjV6IFPszP,85,148800,False,0.636,0.909,0,-3.685,1,0.0439,0.149,0,0.719,0.61,154.189,4,https://i.scdn.co/image/ab67616d00001e0219bb2fb697a42c1084d71f6c
5,42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,Matheus & Kauan,"['agronejo', 'arrocha', 'pop nacional', 'sertanejo', 'sertanejo universitario']",Se Melhorar Estraga (Ao Vivo),2Z0lRIqr997lIUiPtrpKCr,76,155284,False,0.48,0.93,2,-4.441,1,0.143,0.0302,0,0.689,0.641,160.063,4,https://i.scdn.co/image/ab67616d00001e02a145f0bbbb0ee0e29dfb4b4a
6,6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,Hugo & Guilherme,"['agronejo', 'arrocha', 'sertanejo universitario']",Próximo Passo (Ao Vivo),1LIuN7ov1IBQDdLsU83ojl,72,177934,False,0.732,0.831,0,-3.791,0,0.0691,0.554,0,0.903,0.684,123.942,4,https://i.scdn.co/image/ab67616d00001e02589da421f5679c437c3f6b63
7,2YFFjN9eu6yUAeLr2QJBE8,Alguns Defeitos - Ao Vivo Em São José Do Rio Preto / 2019,Juan Marcus & Vinícius,['sertanejo pop'],Pra Todo Mundo Ver (Ao Vivo Em São José Do Rio Preto / 2019 / Vol. 1),0GVW2S0kS9yOIEo93ZCNLW,60,185420,False,0.756,0.353,2,-10.381,0,0.0412,0.726,0,0.7,0.7,109.95,4,https://i.scdn.co/image/ab67616d00001e027e4d71840eafd2729d9c0223
8,1VcGx47V3mlyZeM7ylY0fh,Insana,Loubet,"['agronejo', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",Acústico Simplesmente Sertanejo,6DtpcJP3QBgHfte3eKzUCI,52,188560,False,0.759,0.593,6,-6.951,0,0.0312,0.652,0,0.463,0.765,109.941,4,https://i.scdn.co/image/ab67616d00001e0286fa88215e47db0fdfca22ff
9,2S1FdpJKYFei9B9y81TTFG,Perdoa - Ao Vivo,Matogrosso & Mathias,"['sertanejo', 'sertanejo tradicional', 'sertanejo universitario']",Duas Gerações (Ao Vivo),5he1UTofdFOcdbKqnLixko,50,195500,False,0.412,0.704,9,-5.359,0,0.0341,0.661,0,0.933,0.286,133.752,4,https://i.scdn.co/image/ab67616d00001e02cb70db3a7b83cbef9f1b920a
10,17vkpwdNFLE5T1Y4PE3stJ,Boiadeira,Ana Castela,"['agronejo', 'funk rj', 'sertanejo pop']",Boiadeira,2CKOmarVWvWqkNWUatHCex,71,169404,False,0.552,0.847,8,-3.884,1,0.0799,0.383,0,0.607,0.74,165.742,4,https://i.scdn.co/image/ab67616d00001e028bee9cf4cde7c92e194b0353
