,track_id,track_name,artist_name,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,12YCtLHGk6tP6RbHDHflCs,Cartão Black,MC Caverinha,Cartão Black,7tojcuXcZ7eBlQjbAc65Ee,85,159973,False,0.842,0.468,9,-8.572,0,0.637,0.255,0,0.202,0.547,107.727,4
1,3UEm2avDtIIaT3UvuvsxES,Flash,MC Caverinha,Flash,7tojcuXcZ7eBlQjbAc65Ee,59,155937,False,0.913,0.366,7,-14.341,1,0.329,0.731,2.31e-05,0.148,0.123,125.035,4
2,3vG5tTQZsAPTDqMiXFhKJy,Avião,MC Caverinha,Avião,7tojcuXcZ7eBlQjbAc65Ee,58,139200,False,0.879,0.418,10,-11.914,0,0.0559,0.572,0,0.107,0.696,100.018,4
3,7HGSUz1e0rtO89RNf5LFPp,O Pai Tá On,MC Caverinha,AUGE,7tojcuXcZ7eBlQjbAc65Ee,58,240000,True,0.924,0.617,7,-8.331,0,0.36,0.141,0,0.0581,0.66,127.937,4
4,0iTTbJikpkTpjn4FUwH9lW,Meu Corre,MC Caverinha,Meu Corre,7tojcuXcZ7eBlQjbAc65Ee,54,170181,False,0.828,0.599,8,-6.158,0,0.212,0.621,0,0.124,0.716,110.132,4
5,1k8SAvpNdgv5jbCuPjPm82,O Preto Mais Caro,MC Caverinha,O Preto Mais Caro,7tojcuXcZ7eBlQjbAc65Ee,51,144277,False,0.898,0.744,4,-4.681,0,0.275,0.0609,0,0.0944,0.772,86.48,4
6,5jRaYDCcftXSc4a0eXJaz6,212 Vip,MC Caverinha,212 Vip,7tojcuXcZ7eBlQjbAc65Ee,50,132024,False,0.882,0.506,0,-7.53,0,0.504,0.163,0,0.25,0.688,150.056,4
7,5DAUCc5kXbwt5q9wTyCN04,Se Segura,MC Caverinha,Se Segura,7tojcuXcZ7eBlQjbAc65Ee,49,138578,False,0.693,0.459,1,-8.709,1,0.493,0.0994,0,0.113,0.497,117.946,4
8,7hx1k6RDaibeSPPVYHnOai,Melhor Dia 9 - Imprevisível,MC Caverinha,Melhor Dia 9 - Imprevisível,7tojcuXcZ7eBlQjbAc65Ee,48,216338,True,0.703,0.651,2,-7.51,0,0.0676,0.197,0,0.129,0.574,141.795,4
9,3hCzQ8c7PCcPfa9qe95ITg,Tipo Gta,MC Caverinha,Tipo Gta,7tojcuXcZ7eBlQjbAc65Ee,46,221570,False,0.828,0.412,10,-12.16,0,0.0835,0.213,0.749,0.0883,0.459,130.034,4
10,6B5Nqt8DAciT2oqevzGbUc,Pilantra,Jão,Pilantra,59FrDXDVJz0EKqYg39dnT2,77,192708,False,0.704,0.825,1,-5.081,0,0.0943,0.133,0,0.0862,0.694,140.02,4
11,6EDj1nbl9wo6ivGI1t59G4,Idiota,Jão,PIRATA,59FrDXDVJz0EKqYg39dnT2,69,181626,False,0.669,0.785,4,-6.093,0,0.0421,0.0685,0,0.566,0.84,131.957,4
12,4JwwAxvprUGhrecdjSjfHN,Essa Eu Fiz Pro Nosso Amor,Jão,ANTI-HERÓI,59FrDXDVJz0EKqYg39dnT2,66,194566,False,0.822,0.39,0,-9.324,1,0.0868,0.612,0,0.11,0.625,129.895,4
