,track_id,track_name,artist_name,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,6YQ7aPJhk0MGpwoKfFAEbS,Wheels on the Bus,CoComelon,"CoComelon Kids Hits, Vol. 1",6SXTTUJxIVwMbc1POrviTr,72,207340,False,0.941,0.387,9,-11.92,1,0.0427,0.184,2.88e-05,0.157,0.965,125.021,4
1,0dF7HP4wDwxCtID3mXpdYX,Baa Baa Black Sheep,CoComelon,"CoComelon Kids Hits, Vol. 1",6SXTTUJxIVwMbc1POrviTr,69,147780,False,0.711,0.396,0,-11.266,1,0.0486,0.829,3e-05,0.119,0.969,199.955,4
2,097ftnCPnGHhn93lS0HHlO,Twinkle Twinkle Little Star,CoComelon,"CoComelon Kids Hits, Vol. 3",6SXTTUJxIVwMbc1POrviTr,69,177477,False,0.459,0.206,0,-9.694,1,0.0282,0.673,0,0.294,0.354,160.072,4
3,6cKlr2BOXBaqiuaHUY5Zwo,Itsy Bitsy Spider,CoComelon,"CoComelon Kids Hits, Vol. 1",6SXTTUJxIVwMbc1POrviTr,68,129761,False,0.919,0.289,2,-12.244,1,0.048,0.586,3.19e-06,0.075,0.866,100.042,4
4,3NEgsdTwk3tIjt6x4d2VzE,Rock-a-Bye Baby,CoComelon,"CoComelon Kids Hits, Vol. 2",6SXTTUJxIVwMbc1POrviTr,67,130496,False,0.715,0.217,5,-10.499,1,0.0319,0.822,0,0.102,0.509,119.902,3
5,7zD97mcPo9fng0aJqUhFvd,Baby Shark,CoComelon,Nursery Rhymes by CoComelon,6SXTTUJxIVwMbc1POrviTr,66,127203,False,0.779,0.587,7,-8.131,1,0.0721,0.33,3.85e-06,0.0792,0.908,199.956,4
6,679VCjP1C3DBkVBEeB34yU,Finger Family,CoComelon,"CoComelon Kids Hits, Vol. 2",6SXTTUJxIVwMbc1POrviTr,66,136002,False,0.816,0.565,9,-11.555,1,0.036,0.352,1.38e-05,0.0768,0.965,119.983,4
7,5txSLkf7BeYIgTtUnVDDG8,Old MacDonald,CoComelon,"CoComelon Kids Hits, Vol. 1",6SXTTUJxIVwMbc1POrviTr,65,147147,False,0.704,0.479,1,-12.362,1,0.0348,0.292,1.14e-06,0.0419,0.936,199.841,4
8,1nTBgueuGtO762MadGoWvZ,Five Little Monkeys Jumping on the Bed,CoComelon,"CoComelon Kids Hits, Vol. 2",6SXTTUJxIVwMbc1POrviTr,63,169302,False,0.959,0.2,4,-12.65,1,0.155,0.8,0.00398,0.0842,0.717,119.925,3
9,6xfOJl9l0Gc5WxjmBAvQsA,Head Shoulder Knees and Toes,CoComelon,CoComelon Essentials,6SXTTUJxIVwMbc1POrviTr,63,127026,False,0.516,0.351,0,-11.012,1,0.044,0.709,8.61e-05,0.116,0.796,159.757,4
10,1F6BAyY4iIzHiZCnUIZDbn,La Mejor De Todas,CoComelon,La Mejor De Todas,6SXTTUJxIVwMbc1POrviTr,71,207000,False,0.593,0.577,0,-4.813,1,0.0294,0.454,0,0.119,0.902,144.007,4
11,2LaMe6cSGfsbu7KUA8UBoJ,Deja,Banda El Recodo,Lo Mejor De Mi Vida,6AcOTCYBMvjKYy4zms0kaC,68,156680,False,0.417,0.465,3,-7.029,1,0.055,0.557,0,0.131,0.688,169.849,4
12,3EjuEvxoNgHV6urIdPA4cl,Te Presumo,Banda El Recodo,Te Presumo,6AcOTCYBMvjKYy4zms0kaC,68,192973,False,0.597,0.469,8,-6.143,1,0.0293,0.684,0.000416,0.166,0.696,145.234,3
13,6oiKbZIaQ8A0Rnsq9jMJ1E,Seis Pies Abajo,Banda El Recodo,De Mexico para el Mundo,6AcOTCYBMvjKYy4zms0kaC,68,176453,False,0.606,0.402,10,-9.107,1,0.0313,0.671,0,0.102,0.964,134.045,4
14,3DqQhY5S4RIWIoFuowD7kX,Y Llegaste Tú,Banda El Recodo,Contigo Por Siempre,6AcOTCYBMvjKYy4zms0kaC,65,196893,False,0.701,0.569,0,-5.587,1,0.0425,0.858,0.000167,0.0733,0.976,123.273,4
15,0Ndim92MYsrFSseD9gbBcg,Vas A Llorar Por Mí,Banda El Recodo,Haciendo Historia,6AcOTCYBMvjKYy4zms0kaC,66,210280,False,0.47,0.41,0,-3.672,1,0.0335,0.59,0,0.088,0.848,167.658,4
16,21Pr1VcMqYrK2VOIWqzkNk,Yo Sé Que Te Acordarás,Banda El Recodo,Lo Mejor De Mi Vida,6AcOTCYBMvjKYy4zms0kaC,64,191666,False,0.524,0.329,10,-7.213,1,0.0342,0.721,0,0.266,0.749,89.076,4
17,4zLVaH8HnWApTsEwCBRYxM,Por una Mujer Casada,Banda El Recodo,"Pa' Puros Compas!, Vol. 2: Corridos y Rancheras",6AcOTCYBMvjKYy4zms0kaC,64,129560,False,0.585,0.471,5,-10.738,1,0.0439,0.489,1.52e-06,0.0758,0.969,137.779,4
18,4AooK5Hh8OZkZ1XjvVGuTY,Que Te Ruegue Quien Te Quiera,Banda El Recodo,Por Ti,6AcOTCYBMvjKYy4zms0kaC,61,186413,False,0.72,0.512,8,-7.437,1,0.0364,0.886,0.0292,0.106,0.968,128.133,4
19,6mVWXZDsMguKrTHfiCyIVu,El Reemplazo,Banda El Recodo,El Reemplazo,6AcOTCYBMvjKYy4zms0kaC,64,235213,False,0.473,0.449,11,-4.548,0,0.0321,0.352,0,0.182,0.515,106.446,4
20,7GQjJEwqlp6m5HNWVQd6OR,Good Directions,Banda El Recodo,Doin' Somethin' Right,6AcOTCYBMvjKYy4zms0kaC,74,215853,False,0.716,0.72,5,-2.183,1,0.0319,0.307,0,0.135,0.464,122.512,4
21,5JnLiuMgRAWoHYOhatFP3s,People Are Crazy,Banda El Recodo,Little Bit Of Everything,6AcOTCYBMvjKYy4zms0kaC,69,231360,False,0.651,0.699,5,-5.006,1,0.0265,0.213,0.000265,0.12,0.36,141.938,4
