,track_id,track_name,artist_name,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - Remastered,Pixies,Surfer Rosa,6zvul52xwTWzilBZl6BUbT,80,234973,False,0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,4
1,4IvZLDtwBHmBmwgDIUbuwa,Here Comes Your Man,Pixies,Doolittle,6zvul52xwTWzilBZl6BUbT,72,201186,False,0.669,0.795,2,-10.865,1,0.0285,0.00772,0.0781,0.401,0.882,124.594,4
2,0p5eZCY0R7uNCZS1YDtIYI,Hey,Pixies,Doolittle,6zvul52xwTWzilBZl6BUbT,70,210906,False,0.59,0.372,7,-12.37,1,0.0318,0.00105,0.00929,0.316,0.306,99.887,4
3,3NfqN997u9A3YAAafgzhIa,All I Think About Now,Pixies,Head Carrier,6zvul52xwTWzilBZl6BUbT,69,187320,False,0.251,0.575,8,-7.819,1,0.0311,0.00405,0.00135,0.15,0.218,185.731,4
4,16EKGMPGE3f6X3p18CjtkB,The Thing,Pixies,Velouria,6zvul52xwTWzilBZl6BUbT,66,118933,False,0.73,0.54,0,-9.046,0,0.045,0.362,0.00334,0.0419,0.977,109.76,4
5,6BT7qiDY4A5tOyklohjQuW,Monkey Gone to Heaven,Pixies,Doolittle,6zvul52xwTWzilBZl6BUbT,66,175333,False,0.654,0.39,6,-10.638,0,0.0307,0.00418,0.0069,0.271,0.566,116.572,4
6,7oDDV1cal0M0RIjr4HuuJ9,Gouge Away,Pixies,Doolittle,6zvul52xwTWzilBZl6BUbT,65,162533,False,0.658,0.475,4,-12.688,1,0.033,0.000892,0.0194,0.105,0.461,125.747,4
7,5cy5IStIn7OSHDEIgXeDyq,Debaser,Pixies,Doolittle,6zvul52xwTWzilBZl6BUbT,64,171746,False,0.489,0.913,5,-9.152,0,0.0479,0.00015,0.709,0.0703,0.539,135.756,4
8,51Z2IzJvLCnZaIpBV0IYRr,Wave Of Mutilation,Pixies,Doolittle,6zvul52xwTWzilBZl6BUbT,63,123906,False,0.587,0.811,5,-10.824,1,0.0328,0.000135,0.472,0.0901,0.75,132.727,4
9,4lSqfVzoGBmBGnBZrSrKOJ,Ana,Pixies,Bossanova,6zvul52xwTWzilBZl6BUbT,62,129440,False,0.66,0.417,8,-14.317,0,0.0265,0.0262,0.0238,0.0894,0.352,105.675,4
10,0rVJ6v23RQozOIvr1YotJP,Hell N Back,Pixies,Hell N Back (Sped Up),6zvul52xwTWzilBZl6BUbT,73,213573,True,0.633,0.684,10,-4.314,0,0.591,0.314,8.95e-05,0.112,0.725,209.688,4
11,2kjdWC3cn0xYJ3Hg8Wo6DR,Hell N Back - Sped Up,Bakar,Hell N Back (Sped Up),3K2Srho6NCF3o9MswGR76H,66,164446,True,0.905,0.82,9,-3.078,0,0.282,0.276,2.74e-05,0.107,0.843,136.393,4
12,4udjo5nLK61pKajakfrndc,1st Time,Bakar,1st Time,3K2Srho6NCF3o9MswGR76H,65,181746,False,0.801,0.718,2,-7.357,1,0.0421,0.0932,0.0331,0.186,0.758,122.994,4
13,4uBQDAzZ881KYZvW7ZInUn,Stop Selling Her Drugs (feat. Dominic Fike),Bakar,Will You Be My Yellow?,3K2Srho6NCF3o9MswGR76H,65,173349,True,0.847,0.275,5,-6.44,1,0.113,0.61,0,0.0737,0.764,85.007,4
14,1pdhJJhfXx8vgwqsr8lC49,The Mission,Bakar,Nobody's Home,3K2Srho6NCF3o9MswGR76H,56,191480,False,0.701,0.386,10,-8.963,0,0.0914,0.215,1.38e-06,0.0967,0.366,94.074,4
15,0u4warxXglSh16oXyMEpoB,Good News,Bakar,Good News,3K2Srho6NCF3o9MswGR76H,63,190348,False,0.689,0.666,7,-5.147,1,0.0391,0.557,1.9e-06,0.115,0.197,105.006,4
16,5sW3srOkA46WbgBRpbSLzu,Sold Your Soul,Bakar,Chill,3K2Srho6NCF3o9MswGR76H,59,137200,True,0.711,0.184,10,-12.291,0,0.0421,0.967,4.04e-05,0.108,0.371,84.976,4
17,3NSBOLzrxMri9OEyxYeWov,NW3,Bakar,Nobody's Home,3K2Srho6NCF3o9MswGR76H,54,233960,True,0.789,0.326,4,-11.783,1,0.132,0.358,0.000918,0.0927,0.164,62.02,4
18,7tbpHQMGcySPP07HlhWcBQ,Small Town Girl,Bakar,Small Town Girl,3K2Srho6NCF3o9MswGR76H,55,185076,False,0.814,0.52,5,-5.651,1,0.0418,0.832,0,0.273,0.734,129.949,4
19,72LHK6D2PEXpmif9MCPIVf,Hell N Back - A COLORS SHOW,Bakar,Hell N Back (A COLORS SHOW),3K2Srho6NCF3o9MswGR76H,55,216285,True,0.709,0.508,5,-9.097,0,0.843,0.266,2.88e-06,0.12,0.788,209.823,4
20,4KTtYhxFtFL7mBwnjkKfLm,Glamorous,Bakar,The Dutchess,3K2Srho6NCF3o9MswGR76H,72,246573,True,0.81,0.755,0,-6.408,1,0.199,0.291,0,0.0857,0.625,130.991,4
21,4AniPkv5vgdE1n6VKreiyI,Big Girls Don't Cry (Personal),Bakar,The Dutchess,3K2Srho6NCF3o9MswGR76H,68,268120,False,0.707,0.642,7,-4.271,1,0.0337,0.204,0,0.0925,0.249,113.083,4
22,1D066zixBwqFYqBhKgdPzp,Fergalicious,Fergie,The Dutchess,3r17AfJCCUqC9Lf0OAc73G,71,292373,True,0.906,0.583,8,-7.721,0,0.317,0.0569,0,0.126,0.829,129.056,4
23,7jRoWfRlLnGYEIEn4t4kbq,London Bridge,Fergie,The Dutchess,3r17AfJCCUqC9Lf0OAc73G,66,241306,True,0.77,0.609,1,-5.894,1,0.345,0.214,0,0.166,0.631,90.952,4
24,50xeLNGKmskmYUSINhqvfa,Clumsy,Fergie,The Dutchess,3r17AfJCCUqC9Lf0OAc73G,64,240426,False,0.731,0.563,2,-4.046,1,0.131,0.191,0.000423,0.296,0.452,184.004,4
25,1yW00C89gUWPvUh5fkyzz4,A Little Party Never Killed Nobody (All We Got),Fergie,Music From Baz Luhrmann's Film The Great Gatsby,3r17AfJCCUqC9Lf0OAc73G,62,240733,False,0.749,0.635,5,-5.075,0,0.168,0.0105,2.17e-06,0.0854,0.508,130.011,4
26,5h2nC1QYVpK0AJra70Ja3p,L.A.LOVE (la la) [feat. YG],Fergie,Double Dutchess,3r17AfJCCUqC9Lf0OAc73G,66,211512,False,0.509,0.482,7,-6.965,1,0.176,0.0186,0,0.238,0.301,101.042,4
27,1GH5tpvz5g1ZGKNBPBWkTm,London Bridge,Fergie,London Bridge,3r17AfJCCUqC9Lf0OAc73G,59,208093,True,0.751,0.648,1,-5.394,1,0.241,0.159,0,0.0508,0.678,90.987,4
28,3osQ5lSSqZb8HWRozdbVPw,M.I.L.F. $,Fergie,Double Dutchess,3r17AfJCCUqC9Lf0OAc73G,59,162365,True,0.773,0.706,0,-5.709,1,0.0999,0.00538,0.0148,0.0208,0.693,160.912,4
29,2Rbq28aQomoEswOXeK27CE,Love Song to the Earth,Fergie,Love Song to the Earth,3r17AfJCCUqC9Lf0OAc73G,51,231679,False,0.377,0.629,6,-7.243,0,0.0341,0.032,0,0.0777,0.14,140.044,4
