,artist_name,track_name,track_id,popularity
0,Morgan Wallen,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,84
1,Morgan Wallen,Chasin' You,5MwynWK9s4hlyKHqhkNn4A,83
2,TV Girl,Blue Hair,39sDitIeCMrVX2QyXHY46t,87
3,Lil Baby,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,84
4,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,85
5,Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,83
6,Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,87
7,Luke Combs,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,82
8,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",1otG6j1WHNvl9WgXLWkHTo,85
9,21 Savage,ball w/o you,50a8bKqlwDEqeiEknrzkTO,83
10,21 Savage,a lot,2t8yVaLvJ0RenpXUIAC52d,83
11,Luke Combs,She Got the Best of Me,698eQRku24PIYPQPHItKlA,81
12,The Weeknd,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,89
13,The Weeknd,I Was Never There,1cKHdTo9u0ZymJdPGSh6nq,89
14,Rainbow Kitten Surprise,It's Called: Freefall,474uVhyGgK5MtY9gMcDgGl,84
15,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,90
16,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,85
17,Kendrick Lamar,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,85
18,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,84
19,Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,82
20,Vacations,Telephones,0JIMT9gzLIIz0esKLyjbKf,82
21,80purppp,Hex,7D7e6hm2LiNd6nLuJF6K9Q,83
22,Morgan Wallen,The Way I Talk,21LRaD9rB3v7p7DDCZsW4y,78
23,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn,86
24,Metro Boomin,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ,80
25,The Neighbourhood,You Get Me So High,7zwn1eykZtZ5LODrf7c0tS,84
26,Metro Boomin,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz,83
27,XXXTENTACION,Hope,2ZRo7axmMPeSVUvDbGkJah,86
28,Kanye West,Violent Crimes,3s7MCdXyWmwjdcWh7GWXas,82
29,Post Malone,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,86
30,The Neighbourhood,Softcore,2K7xn816oNHJZ0aVqdQsha,86
31,Juice WRLD,Lean Wit Me,3oDkdAySo1VQQG0ptV7uwa,80
32,Mitski,Washing Machine Heart,3jjsRKEsF42ccXf8kWR3nu,83
33,Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,85
34,XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL,84
35,Men I Trust,Show Me How,01TyFEZu6mHbffsVfxgrFn,81
36,Brent Faiyaz,Trust,0oufSLnKQDoBFX5mgkDCgR,80
37,girl in red,we fell in love in october,6IPwKM3fUUzlElbvKw2sKl,84
38,Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,79
39,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,84
40,Mac Miller,Self Care,5bJ1DrEM4hNCafcDd1oxHx,80
41,Sheck Wes,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,81
42,Kali Uchis,Dead To Me,6LOZws7T3jqZz78unPgFF9,80
43,Mac Miller,Small Worlds,4gT3mNJA8lnlkYFqGZ8IA2,80
44,XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,83
45,Tyler Childers,Shake the Frost (Live),19MkwMrRjO7773zpuGss1o,76
46,Juice WRLD,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,78
47,A Boogie Wit da Hoodie,Look Back at It,3Ol2xnObFdKV9pmRD2t9x8,79
48,Drake,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,80
49,Post Malone,Better Now,7dt6x5M1jzdTEt8oCbisTK,83
50,Travis Scott,BUTTERFLY EFFECT,2cYqizR4lgvp4Qu6IQ3qGN,81
51,Morgan Wallen,If I Know Me,03d8S7FBY2kIzhP0E7l4rn,76
52,Lil Baby,Life Goes On,2bSk87AVkCIIC3Bcligq1z,77
53,Khalid,Better,6zeeWid2sgw4lap2jV61PZ,80
54,Migos,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,77
55,Travis Scott,5% TINT,11kDth1aKUEUMq9r1pqyds,80
56,A$AP Rocky,Sundress,2aPTvyE09vUCRwVvj0I8WK,80
57,Trippie Redd,Taking A Walk,4mHgYpuGHu99Mw69E83CP2,77
58,Panic! At The Disco,High Hopes,1rqqCSm0Qe4I9rUvWncaom,83
59,Summer Walker,Girls Need Love (with Drake) - Remix,14SaZBTjxlorHJQxXh01Hu,80
60,Lil Peep,Falling Down - Bonus Track,4jvjzW7Hm0yK4LvvE0Paz9,81
61,Kanye West,Ghost Town,7vgTNTaEz3CsBZ1N4YQalM,78
62,Trippie Redd,1400 / 999 Freestyle,75lcPkAkUsKWHGBlGM476R,77
63,Metro Boomin,Overdue (with Travis Scott),6LyAwkJsHlW7RQ8S1cYAtM,79
64,YNW Melly,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,79
65,Travis Scott,CAN'T SAY,27a1mYSG5tYg7dmEjWBcmL,79
66,Dominic Fike,Babydoll,7yNf9YjeO5JXUE3JEBgnYc,79
67,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,84
68,Playboi Carti,R.I.P.,3L0IKstjUgDFVQAbQIRZRv,78
69,J. Cole,Kevin’s Heart,6tZ3b7ik1QDXFAZlXib0YZ,76
70,Calvin Harris,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,88
71,Jason Aldean,You Make It Easy,6EGAfJaLUFzhS4zRBIEQ2J,74
72,Playboi Carti,Fell In Luv (feat. Bryson Tiller),1s9DTymg5UQrdorZf43JQm,78
73,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,83
74,Drake,Nonstop,0TlLq3lA83rQOYtrqBqSct,80
75,Vansire,From the Subway Train,0qOCy2LqvdkMora7eZsJhQ,79
76,Ski Mask The Slump God,Nuketown (feat. Juice WRLD),74lnM5V6ecvoTPV0fvptx9,76
77,MGMT,Little Dark Age,2Y0iGXY6m6immVb2ktbseM,82
78,Zedd,The Middle,09IStsImFySgyp0pIQdqAc,81
79,Alec Benjamin,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,86
80,5 Seconds of Summer,Youngblood,2iUXsYOEPhVqEBwsqP70rE,82
81,Ski Mask The Slump God,Faucet Failure,1ThmUihH9dF8EV08ku5AXN,76
82,Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B,86
83,Ski Mask The Slump God,Unbothered,5hwUsRKvnO5yThjVrxHQVt,76
84,Beach Bunny,Prom Queen,6MpCaSIOfqBqbMED4kXgNY,80
85,The Neighbourhood,Reflections,2xql0pid3EUwW38AsywxhV,82
86,Post Malone,Candy Paint,32lItqlMi4LBhb4k0BaSaC,78
87,Juice WRLD,Wasted (feat. Lil Uzi Vert),1a7WZZZH7LzyvorhpOJFTe,77
88,Lauv,I Like Me Better,0EcQcdcbQeVJn9fknj44Be,83
89,Joji,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,79
90,Joji,worldstar money (interlude),0baNzeUcPQnQSagpe8T0mD,78
91,Mac Miller,Come Back to Earth,01z2fBGB8Hl3Jd3zXe4IXR,76
92,Key Glock,Russian Cream,03ThZweiBWFP8tOGsk6QMO,73
93,Summer Walker,Deep,3LfHBTYZBTqmz43tvVXJBd,78
94,Playboi Carti,Long Time - Intro,4IO2X2YoXoUMv0M2rwomLC,76
95,benny blanco,Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,81
96,Juice WRLD,Hurt Me,3XRQT7EoS4U87rUuJwg5P3,75
97,Polo G,Neva Cared,3UnYMo1aeD0o8VtHy3R8cs,75
98,Dan + Shay,Tequila,42fw0rxRO2xbesF6mJfd4Y,74
99,Cardi B,I Like It,58q2HKrzhC3ozto2nDdN4z,80
100,Post Malone,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,79
101,Lil Baby,Ready (feat. Gunna),4F6yN5FsFW10Ucx7cLCzBh,75
102,YoungBoy Never Broke Again,Outside Today,3sA7HKGzcKTVscdiTCrWpX,72
103,Social House,Magic In The Hamptons (feat. Lil Yachty),2Yer0p7uB2lVBUAtANuuQp,75
104,Kodak Black,ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,77
105,Playboi Carti,Foreign,500l6Cwe40hkPqS7Sf7ufY,74
106,Imagine Dragons,Natural,2FY7b99s15jUprqC0M5NCT,82
107,Lil Baby,Close Friends (Lil Baby & Gunna),5nzhL67GpF9szXWg5y509A,76
108,Mt. Joy,Silver Lining,0i5QVxsK3IvEDbUjTA64Li,74
109,Alec Benjamin,If We Have Each Other,7pT6WSg4PCt4mr5ZFyUfsF,80
110,Kanye West,All Mine,3U21A07gAloCc4P7J8rxcn,76
111,Aminé,REEL IT IN,5qHirGR7M9tdm6C17DlzSY,76
